condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on March 30, 2017 (week 13), with 0 weekend night(s) and 2 weekday night(s). The party consists of 1 adult(s). Person 1 is a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 1 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This looks like a business-style weekday stay by a repeated guest with no prior cancellations and one special request—factors associated with low cancellation risk—so they likely kept the booking.  
PREDICTION: 1","Given the strong indicators of low cancellation risk (repeated guest, no prior cancellations, short weekday stay, and a special request), the prediction that they kept the booking is likely correct, so proceed without escalation.  
DECISION: 0",,,2026-03-19T09:11:52.848306
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on February 26, 2016 (week 9), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s), 1 child(ren). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 2 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the guest has no previous cancellations and made special requests (indicating commitment to the stay), they are more likely to keep the booking.  
PREDICTION: 1","Because the guest has no previous cancellations and made special requests (signaling commitment), the prediction of keeping the booking is reasonably confident and low-risk to implement.  
DECISION: 0",,,2026-03-19T09:11:52.933091
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on January 27, 2017 (week 4), with 1 weekend night(s) and 2 weekday night(s). The party consists of 1 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 2 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","They have no previous cancellations and made two special requests (indicating commitment), so a single adult on a short 3-night stay is more likely to keep the reservation.  
PREDICTION: 1","Given the strong signals (no prior cancellations and two special requests indicating commitment) and the short 3-night stay for a single adult, I'm reasonably confident the prediction that they kept the booking is correct, so proceed to implement it.  
DECISION: 0",,,2026-03-19T09:11:53.248918
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on March 07, 2017 (week 10), with 0 weekend night(s) and 3 weekday night(s). The party consists of 2 adult(s). Person 1 is a repeated guest and has 0 previous cancellation(s). They have requested 1 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Likely to keep the booking because they are a repeated guest with no prior cancellations and requested parking for a short weekday stay, indicating committed plans.  
PREDICTION: 1","Implement — the prediction is high-confidence because the guest is a repeat with zero prior cancellations and made a short weekday booking with a parking request, all indicating low cancellation risk.  
DECISION: 0",,,2026-03-19T09:11:53.675529
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on July 20, 2017 (week 29), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This is a short midweek stay for two adults with no prior cancellations or special requests—traits typical of business bookings that are unlikely to be cancelled, so they probably kept the reservation.  
PREDICTION: 1","The reservation profile (short midweek stay for two, no prior cancellations or special requests) strongly indicates a low cancellation risk, so I'm reasonably confident the prediction is correct. Implement the prediction.  
DECISION: 0",,,2026-03-19T09:11:53.901573
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on April 08, 2016 (week 15), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 1 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This two-night weekday booking with no prior cancellations and a special request suggests a committed (likely business) stay, so the guest is likely to keep the reservation.  
PREDICTION: 1","The booking has several indicators of low cancellation risk (weekday stay, no prior cancellations, a special request suggesting commitment), so it's reasonable to implement the prediction rather than escalate.  
DECISION: 0",,,2026-03-19T09:11:54.130349
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on April 07, 2016 (week 15), with 1 weekend night(s) and 3 weekday night(s). The party consists of 1 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Solo traveler with mostly weekday nights, zero prior cancellations and no special requests suggests a firm, likely business booking that will be kept.  
PREDICTION: 1","Given the profile—single adult, predominately weekday nights, no prior cancellations or special requests—this appears to be a committed business booking, so implementing the prediction is reasonable.  
DECISION: 0",,,2026-03-19T09:11:54.183471
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on January 14, 2017 (week 2), with 0 weekend night(s) and 1 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 1 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because this is a one-night weekday stay for two adults with no previous cancellations and a special request (signaling commitment), it's more likely the reservation was kept.  
PREDICTION: 1","The booking shows indicators of commitment (no prior cancellations and a special request) and only one weekday night, so I'm reasonably confident the reservation will be kept.  
DECISION: 0",,,2026-03-19T09:11:54.230001
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on June 21, 2017 (week 25), with 0 weekend night(s) and 1 weekday night(s). The party consists of 2 adult(s). Person 1 is a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 2 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","As a repeat guest with no previous cancellations who made multiple special requests and booked a short one-night weekday stay (likely purposeful), they are likely to keep the booking.  
PREDICTION: 1","Implement the prediction because Person 1's profile (repeat guest, zero prior cancellations, multiple special requests, and a purposeful one-night weekday booking) strongly indicates they will keep the reservation. I am sufficiently confident to implement rather than escalate.  
DECISION: 0",,,2026-03-19T09:11:54.892131
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on November 30, 2016 (week 49), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The booking is likely to be kept because it is a short weekday stay (suggesting business travel) with no prior cancellations and no special requests, all of which correlate with lower cancellation risk.  
PREDICTION: 1","The features (short two-night weekday stay, no previous cancellations, no special requests) indicate a low cancellation risk, so I am reasonably confident the prediction that the booking will be kept is correct.  
DECISION: 0",,,2026-03-19T09:11:55.967189
