condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_stop,1,0,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ::Not making sense is your words, it makes sense to anyone willing to understand, that those language terms have been used and written throughout the centuries, while Azeri words are varients of Persian (which you compare to Azeri, for its legimity to stay) and Arabic written in Azeri characters which didn't exist prior to the 20th century. If you would stop taking this matter as a 'battle' and read the article, its introduction and the other languages which are there, and compare it with those of Greece (in comparaison it could be considered as the name of the country), you will see that your comparaison does not work. Since while the article on Greece was made to become just a name given to the country from various languages, the one of Jerusalem has made to become one of historic name. By now you should have understood this. Each time there is a controversy on your behavior you disappear the same day to come back days later to jump in the same controversy, the same way when you stopped contributing during the arbitration cases to escape scrutiny for this very same behavior.   '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains direct personal accusations and hostile language (e.g., accusing the other user of evasive, bad-faith behavior and attacking their conduct), which constitutes harassment and toxicity.  
PREDICTION: 0","The comment contains direct personal attacks and accusatory language (e.g., accusing the other user of evasive, bad‑faith behavior), which is a clear case of toxicity and unlikely to be judged non-toxic by crowd-workers. Therefore my prediction is likely correct and should be implemented.  
DECISION: 0",,,2026-03-19T10:03:52.102097
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 : let me take back to your very 1st comment as i dont wish to talk with ignorant editors. ``back up your claims with valid citations..``70% of the material there have no citations! stop disturbing me! i am a scientist and your idiotic comments are disturbing me with new messages while i am skimming science articles.  `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment uses direct insults (""ignorant editors"", ""your idiotic comments"") and harassing language, so crowd-workers would label it as toxic.  
PREDICTION: 0","The comment contains direct insults and harassing language (""ignorant editors"", ""your idiotic comments""), so it's very likely crowd-workers would label it toxic; therefore implement the prediction.  
DECISION: 0",,,2026-03-19T10:03:52.823376
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'Please stop replacing the Concurrent Technologies Corporation page with a company-produced puff paragraph. 
  
  
 If you'd like to make real, verified improvements to the page please go ahead.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a firm but civil request to stop promotional edits and offers constructive guidance without insults or abusive language, so it is not toxic.  
PREDICTION: 1","The comment is a civil, constructive request without insults or abusive language, so the crowd-workers are likely to agree it is non-toxic; therefore implement the prediction.  
DECISION: 0",,,2026-03-19T10:03:53.011066
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 ==zionist jew== 
  
 please stop spreadin your lies, bias, and propaganda. your a zionist jew, that suports  the terrorist state of israel, and you want our nations to help your sorry state. im digusted at your posts in the Israel discussion page, almost makes me puke! zionists are going to cause armageddon to us ALL! and even if your not Israeli, i know your a zionist, because your views about Israel, are BIAS! Zionists are obviously going to want the destruction of Palestine, and support the mass genocide of INNOCENT palestinians! Were fighting your war in IRAQ! youve tricked our nations in suporting your terrorist state. You probaly also want the creation of the old ISRAEL baxck to, which involves the invasion of countries like SYRIA, IRAQ ...hmmm maybe thats why your starting wars with them, and stereling oil, by creating OIL pipes! be ashamed you ZIONIST! for the sake of humanity   
 !'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment uses abusive, demeaning, and violent rhetoric directed at a protected group (""Zionist Jews""), including accusations of terrorism and genocide, so it is toxic.  
PREDICTION: 0","The comment contains explicit hateful, demeaning, and violent rhetoric toward a protected group, so crowd-workers would very likely label it toxic and my prediction (PREDICTION: 0) should match their aggregate decision.  
DECISION: 0",,,2026-03-19T10:03:53.064344
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 Please stop. If you continue to blank or remove content from Wikipedia, as you did to Ankara, you will be blocked from editing Wikipedia.   A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This is a firm, policy-based warning about editing behavior and possible administrative action without insults or abusive language, so it should be labeled not toxic.  
PREDICTION: 1","The message is a firm but non-abusive moderation warning about editing behavior with no insults or derogatory language, so the crowd-workers are very likely to label it not toxic and my prediction should be implemented.  
DECISION: 0",,,2026-03-19T10:03:53.124326
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ::::Please stop ignoring my valid points and placing in your own.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This is a critical request complaining about being ignored but contains no insults, slurs, threats, or explicit harassment, so crowd-workers would likely mark it as not toxic.  
PREDICTION: 1","Implement my prediction: the comment is a complaint about being ignored but contains no insults, slurs, threats, or explicit harassment, so crowd-workers would likely mark it not toxic.  
DECISION: 0",,,2026-03-19T10:03:54.762426
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == You dumb mother fucking nigger lover == 
  
 STOP DELETING MY EDITS, YOU PRICK!'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains severe profanity and a racial slur directed at others, clearly meeting the criteria for harassment and hate speech so crowd-workers would mark it as toxic.

PREDICTION: 0","The comment contains explicit racial slurs and multiple severe insults that clearly meet the toxic/hate-speech criteria, so crowd-workers would almost certainly label it toxic; therefore there's no need to escalate. Implement the predicted toxic label.

DECISION: 0",,,2026-03-19T10:03:54.805486
contains_stop,1,0,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'Keyes/Gravel Final resoulution 
 Ok, here's the deal, it really doesn't matter if we include Gravel/Keyes at this point or not, because come each parties National Conventions when a candidate is chosen to run for the party both Keyes and Gravel will be listed with the rest of the withdrawn candidates, I don't think anyone disputes that they are notable enough for that list. So, in order to stop the arguing why don't we just let the Keyes/Gravel supporters keep their candidate up their so they stop whining and when the conventions come they will be removed and no one will have anything to complain about. It's not like having them on a wikipedia page is going to change the election results one iota, so stop fretting about and just deal with it until the conventions. It's not like they will end up permanently being there anyways. Get my drift? Anyone else agree?    
  
  
 '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is dismissive and uses insulting language toward supporters (""stop whining"", ""stop fretting"", ""Get my drift?""), which constitutes harassment and makes it toxic.

PREDICTION: 0","The comment uses dismissive, insulting language toward supporters (""stop whining"", ""stop fretting""), which meets typical crowd-worker criteria for toxicity, so my prediction of toxic is likely correct.  

DECISION: 0",,,2026-03-19T10:03:55.318183
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Yellowcard and Ryan Key== 
 Please stop incorrectly editing Ryan Key and Yellowcard. I don't know where you get your information, but none of it is correct. Ryan Key is not an original member of Yellowcard. You have no sources to back this up because it isn't true. Thank you.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a firm but civil factual correction and criticism without insults, threats, or obscene language, so crowd-workers would likely mark it as not toxic.  
PREDICTION: 1","The comment is a civil, factual correction without insults, harassment, or abusive language, so it's very likely the crowd-workers would also label it not toxic; therefore it's safe to implement the prediction.  
DECISION: 0",,,2026-03-19T10:03:55.510149
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 Yeah, all you have to do is stop being such a bitch.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This is a direct personal insult using profanity aimed at another user (""stop being such a bitch""), which constitutes harassment and should be labeled toxic.  
PREDICTION: 0","The comment is a direct personal insult using profanity and harassment, so crowd-workers would very likely label it as toxic and my prediction matches that. Therefore implement the prediction.  
DECISION: 0",,,2026-03-19T10:03:55.608877
