condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Jason Russell == 
  
 I am reverting your last edit at Jason Russell under the BLP exemption, and per your suggestion I am pursuing resolution at N/BLP.  Just so you know, consensus (which doesn't exist in this case anyway) does not provide cover for BLP violations.  If you put that material back before a decision is reached at the BLP Noticeboard, the next stop will be AN/I.  Of course, I'm not telling you what to do - merely informing you in advance of my intentions.  Stand by for a link to the N/BLP discussion, which should be available in the next 20 minutes or so.  - `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a firm administrative warning about reverting edits and pursuing dispute resolution without insults, threats, or abusive language, so it's non-toxic. PREDICTION: 1","The comment is procedural and non-abusive, so my prediction that crowd-workers would label it non-toxic is likely correct; because implementing a wrong answer costs 4× more than escalating, but I am reasonably confident here, implementation is justified. DECISION: 0",,,2026-03-28T11:17:58.165822
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
  Please stop your disruptive editing. If your vandalism continues, you will be blocked from editing Wikipedia.   (review)  
 :If this is a shared IP address, and you didn't make any unconstructive edits, consider creating an account for yourself so you can avoid further irrelevant warnings.`'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The message is a formal warning about disruptive editing and potential blocking but is not abusive or insulting—it's enforcement-oriented rather than insulting, so it's non-toxic. PREDICTION: 1","The message is a formal warning and not insulting or hateful; given the clear non-abusive tone and prior agreement, implementing is likely correct and avoids the higher cost of a wrong implementation. DECISION: 0",,,2026-03-28T11:17:58.328957
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`* LOL, haha, you fuckin loser Wobbs, yeah maybe I am Epf......NOT. Although he shares some views with me on race, hes some dumb Italian-British mut from Canada that actually annoys me. I have used other accounts on here, but with other anon. accounts, not as a registered user (which is allowed by Wikipedia since IP #'s change all the time). Hahaha, Wobbs, you are a fool, especially with how you place so much emphasis on those books recently released by Sykes, etc. which are a minority opinion in the world of population geneticists and other researchers. For your information, Racial Reality isn't a ``neo-nazi`` site you anarchist loser with no hope because your life is meaningless and you don't know ANYTHING on what you read about with these issues. RR is a neutral point of view that seeks to refute neo-nazi, white supremacists, multi-racial, race-denier, assimilationist, biased opinions that influence works including the authors of those books you mentioned. Stick to being a pathetic lab assistant and get a life you fuckin tool and stop vandalizing pages and makin edits to suit your twisted opinons you fool. Hahaha, wow, do u accuse 'sock pupety`` of everyone who gets under you skin you douchebag ???   
  
 `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is full of personal attacks, insults, profanity, and harassment directed at another user, which meets the definition of toxic content. PREDICTION: 0","The comment contains explicit insults, slurs, and harassment, so the crowd-workers would overwhelmingly label it toxic; the cost of a wrong implementation is high but my prediction is confident. DECISION: 0",,,2026-03-28T11:17:58.485326
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Oh so it's you who wants the considerable amount of harm then is it? == 
  
 You fucking cretin. You seriously think I'm going to stop vandalising just because you block me? I have a MASSIVE range of IPs and you will never block them all. I am never going to stop either. Hahaha   '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains explicit insults (""You fucking cretin""), threats/harassment (""I am never going to stop... you will never block them all""), and aggressive language, so it should be labeled toxic despite the decision-tree note about ""stop"". PREDICTION: 0","My prediction that the crowd-workers would label this comment toxic is confident because it contains explicit insults and harassment that clearly meet toxicity criteria, so implementing is low-risk relative to the high cost of being wrong. DECISION: 0",,,2026-03-28T11:17:58.491289
contains_stop,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Blocked for continuing disruptive behaviour and battleground tendencies== 
 Despite constant warnings by myself and other editors for you to assume good faith and to stop making unhelpful accusations, you have constantly ignored our advice and continued to make bad faith accusations against other editors, in violation of . You have been given numerous warnings  telling you that your behaviour was unacceptable yet you have completely ignored them with this edit. I have given you multiple chances, multiple opportunities to reflect on your behaviour and have told you many times that it is utterly unacceptable.Therefore you are blocked for 48 hours for disruptive editing and for exhibiting battleground behaviour in violation of our no personal attack policy. —  
  
 That wasn't a personal attack, it was stating facts. Perhaps go read the Theresa Donovan talk page for yourself. What I said is the truth and can be verified.    
  
 Or don't. It's up to you. I will be back, though. And I greatly look forward to it.  '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The message contains warnings, accusations of ""bad faith"" and ""disruptive behaviour"" and a somewhat confrontational tone (""Or don't. It's up to you. I will be back""), which constitute personal attack/harassment and thus should be labeled toxic. PREDICTION: 0","There is risk if my prior prediction was wrong; implementing a wrong answer costs 4x more than escalating, and because the comment mixes administrative blocking language with accusatory and confrontational phrasing, there is some ambiguity for crowd-workers—so escalate to avoid a costly error. DECISION: 1",,,2026-03-28T11:17:58.791348
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 :Indeed, if you do not stop and discuss your content I will block you for editing disruptively.  Please respond.   `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a firm warning to stop disruptive editing and to respond, which is direct but not insulting or slur-filled, so it should be labeled non-toxic. PREDICTION: 1","The comment is a warning without insults and the decision-tree note indicates comments with ""stop"" were usually non-toxic, so implementation is low-risk; given the high cost of a wrong implementation (4x), but our confidence is reasonable, we should still implement. DECISION: 0",,,2026-03-28T11:17:58.825155
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Hello there you stupid weedhead! == 
  
 You are so f***ing stupid and dumb. Stop deleting my pages!! I´m just trying to help. You do also got a very lame and uncool username. /angrybirdlover1337'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains direct insults (""stupid weedhead"", ""You are so f***ing stupid and dumb"") and aggressive language clearly meeting toxicity criteria despite the presence of the word ""stop""; therefore it should be labeled toxic. PREDICTION: 0","There is strong, explicit abusive language and insults, so my prediction that the crowd-workers would label this comment as toxic is likely correct; given the high cost of a wrong implementation (4x), but high confidence in the toxic label, it is still safer to implement. DECISION: 0",,,2026-03-28T11:17:58.830141
contains_stop,0,1,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == July 2007 == 
  Please stop making test edits to Wikipedia, as you did to Tornado. It is considered vandalism, which, under Wikipedia policy, can lead to blocking of editing privileges. If you would like to experiment again, please use the sandbox.    
 :If this is a shared IP address, and you didn't make any unconstructive edits, consider creating an account for yourself so you can avoid further irrelevant warnings.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This comment politely asks a user to stop making test edits, warns about vandalism and blocking, and suggests constructive alternatives (sandbox, creating an account), so it is non-abusive and not toxic. PREDICTION: 1","The comment is clearly a polite policy reminder and not abusive, and given the high prior that comments containing ""stop"" were often non-toxic plus no strong signals of toxicity here, it's safe to implement rather than escalate. DECISION: 0",,,2026-03-28T11:17:58.835580
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Mentally ill freak == 
 Stop editing other people's talk page like 3 year old.  F-off.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This comment contains direct insults (""Mentally ill freak"", ""F-off"") targeting a person and is abusive, so crowd-workers would label it toxic. PREDICTION: 0","The cost of a wrong implementation is 4x higher than escalation, so we should only implement when we are highly confident; given the comment contains clear insults and aggression, I'm confident my prediction matches the crowd-workers' likely toxic label. DECISION: 0",,,2026-03-28T11:17:58.837379
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'FISHERQUEEN AND BIGDUNC AND DOMER48 MUST BE REMOVED FROM WIKIPEDIA. MY ACCOUNT HAS BEEN BLOCKED TO STOP ME FROM EXPOSING THEM BUT I WILL NOT BE SILENCED. THEY ARE EVIL AND ARE MAKING A MOCKERY OF WHAT IS SUPPOSED TO BE A PLACE OF EDUCATION AND INTELLECTUALISM. REALKYHICK ALSO APPEARS TO BE IN LEAGUE WITH THEM, THE SCUMBAG.  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","Implementing a wrong answer costs 4x more than escalating.

You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This comment contains targeted insults (""THEY ARE EVIL"", ""THE SCUMBAG"") and calls to remove specific users, which is abusive and harassing. PREDICTION: 0","Because the comment contains explicit insults and targeted harassment, the prediction that crowd-workers would label it as toxic is likely correct; given the higher cost of a wrong implementation (4x), but the confidence here is high, it's reasonable to implement. DECISION: 0",,,2026-03-28T11:17:58.943154
