condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
lead_under_30,0,1,0,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on September 29, 2016 (week 40), with 0 weekend night(s) and 1 weekday night(s). The party consists of 1 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk booking profile with no prior cancellations, no special requests, no parking needs, and a short weekday-only stay, making cancellation unlikely.  
PREDICTION: 1","Since Person 1 has a low-risk profile with no history of cancellations and a simple, short booking, the prediction of retention is highly reliable, and there is no indication of uncertainty or high-stakes risk requiring human intervention.  
DECISION: 0",,,2026-03-16T18:52:40.858970
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on April 07, 2016 (week 15), with 1 weekend night(s) and 3 weekday night(s). The party consists of 1 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk profile—no prior cancellations, no special requests, no parking needs, and a short weekday-heavy stay—which suggests a high likelihood of keeping the booking.  
PREDICTION: 1","Given Person 1’s low-risk profile—no history of cancellations, minimal special requests, and a short, weekday-focused stay—the prediction of keeping the booking is highly reliable, and escalation would add unnecessary cost and friction.  
DECISION: 0",,,2026-03-16T18:52:40.894468
lead_under_30,0,1,0,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on March 14, 2017 (week 11), with 0 weekend night(s) and 5 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a stable booking pattern with no cancellations, no special requests, no parking needs, and a full weekday stay with no weekend nights—indicating a planned, low-risk booking.  
PREDICTION: 1","Since Person 1 has no history of cancellations, no unusual requests, and a clear weekday-only booking pattern consistent with business travel, the prediction of a kept booking is highly reliable. There is no indication of risk or ambiguity to warrant escalation.  
DECISION: 0",,,2026-03-16T18:52:41.418505
lead_under_30,0,1,0,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on August 23, 2016 (week 35), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk booking profile: no prior cancellations, no special requests, no parking needs, and a short weekday-only stay with no weekend nights—indicating a clear, low-friction travel intent.  
PREDICTION: 1","The booking profile is low-risk with no red flags (no cancellations, no special requests, short weekday stay), making the prediction of a kept booking highly reliable; there is no compelling reason to escalate.  
DECISION: 0",,,2026-03-16T18:52:41.993492
lead_under_30,1,1,1,1,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on January 27, 2017 (week 4), with 1 weekend night(s) and 2 weekday night(s). The party consists of 1 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 2 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk profile—no prior cancellations, no parking requests, and multiple special requests suggest intent to stay—making cancellation unlikely.  
PREDICTION: 1","The prediction is based on low-risk behavioral indicators (no cancellations, special requests suggesting intent), but without confirmation of Person 1’s true decision, there remains uncertainty—especially since special requests may indicate high expectations that could lead to cancellation if unmet. To minimize risk of error, it is safer to verify.  
DECISION: 1",,,2026-03-16T18:52:42.059634
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on July 20, 2017 (week 29), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk booking profile—no prior cancellations, no special requests, no parking needs, and a short weekday-only stay with no weekend nights, which typically indicates a business or planned trip with low likelihood of cancellation.  
PREDICTION: 1","The booking profile is low-risk with no red flags (no cancellations, no special requests, short weekday stay), making a ""kept booking"" prediction highly reliable; escalation would add unnecessary cost and delay without probabilistic justification.  
DECISION: 0",,,2026-03-16T18:52:42.290436
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on March 07, 2017 (week 10), with 0 weekend night(s) and 3 weekday night(s). The party consists of 2 adult(s). Person 1 is a repeated guest and has 0 previous cancellation(s). They have requested 1 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 is a repeated guest with no prior cancellations, booked a weekday-only stay with no special requests, and requested a reasonable amenity (1 parking space), all of which strongly indicate a low likelihood of cancellation.  
PREDICTION: 1","Given Person 1’s strong booking profile—repeated guest, no cancellations, minimal special requests, and a practical amenity request—the prediction of a kept booking is highly reliable, with low risk of error. There is no indication of uncertainty or red flags to warrant escalation.  
DECISION: 0",,,2026-03-16T18:52:42.555542
lead_under_30,1,0,0,1,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on September 06, 2016 (week 37), with 0 weekend night(s) and 3 weekday night(s). The party consists of 1 adult(s). Person 1 is a repeated guest and has 3 previous cancellation(s). They have requested 1 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Despite being a repeated guest and requesting parking (positive signals), Person 1 has a history of 3 prior cancellations, which strongly indicates a pattern of unreliable booking behavior, making cancellation likely.  
PREDICTION: 0","While Person 1’s history of 3 cancellations suggests a high risk of cancellation, repeated guest status and a parking request may indicate genuine intent this time—making the prediction uncertain and potentially costly if wrong. To avoid losing a potentially loyal customer due to a false negative, it’s safer to escalate and confirm intent.  
DECISION: 1",,,2026-03-16T18:52:42.629908
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on March 30, 2017 (week 13), with 0 weekend night(s) and 2 weekday night(s). The party consists of 1 adult(s). Person 1 is a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 1 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 is a repeated guest with no prior cancellations, booked only weekday nights (low disruption risk), made a single special request (not excessive), and requested no parking (indicating low logistical complexity), all of which strongly suggest a low likelihood of cancellation.  
PREDICTION: 1","Given Person 1’s strong history as a repeated guest with zero cancellations and low-risk booking characteristics (weekday-only stay, no parking request, minimal special requests), the prediction of a kept booking is highly reliable and aligned with behavioral patterns of loyal customers. There is no indication of risk that would warrant escalation.  
DECISION: 0",,,2026-03-16T18:52:43.032754
lead_under_30,1,1,1,0,"You are helping predict Person 1's hotel booking decision. Person 1 has booked a hotel stay arriving on November 30, 2016 (week 49), with 0 weekend night(s) and 2 weekday night(s). The party consists of 2 adult(s). Person 1 is not a repeated guest and has 0 previous cancellation(s). They have requested 0 car parking space(s) and made 0 special request(s).

TASK: Predict Person 1's booking decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (kept booking) or 'PREDICTION: 0' (cancelled).","You predicted Person 1's booking decision above.
TASK: Should we implement your prediction, or escalate to Person 1?
A decision is considered correct if you implement when your prediction matches Person 1's true decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Person 1 has a low-risk booking profile: no prior cancellations, no special requests, no parking needs, and a short weekday-only stay with no weekend nights—factors typically associated with higher booking retention—making cancellation unlikely.  
PREDICTION: 1","Since Person 1’s booking profile shows no red flags—no cancellations, no special requests, and a short weekday stay—the prediction of retention is statistically reliable, and escalation would unnecessarily consume resources.  
DECISION: 0",,,2026-03-16T18:52:43.163867
