ground_truth,prediction,correct,escalate,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
1,1,1,0,"The comment is a neutral, policy-related notice using the word ""please"" to politely request information, which aligns with the 92% non-toxic pattern associated with that word.  
PREDICTION: 1","The comment is clearly a standard Wikipedia notice with no hostile language, and the presence of ""please"" strongly correlates with non-toxicity (92%), making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:31:55.681466
1,1,1,1,"The comment expresses remorse, self-reflection, and a plea for understanding with the word ""please,"" aligning with the 92% non-toxic pattern when ""please"" is present, despite the initial mention of teasing.  
PREDICTION: 1","While the presence of ""please"" strongly correlates with non-toxicity (92%), the comment also contains potentially problematic behavior (teasing a blocked user), which may trigger mixed judgments from crowd-workers. Given the ambiguity and ethical sensitivity, it’s safer to escalate for human review.  
DECISION: 1",,,2026-03-16T12:31:55.865939
1,1,1,0,"The comment is a polite, welcoming message with multiple instances of ""please"" and helpful guidance, consistent with the 92% non-toxic pattern associated with the word ""please,"" so it is clearly non-toxic.  
PREDICTION: 1","The comment is clearly welcoming and non-confrontational, with strong linguistic indicators (e.g., multiple uses of ""please,"" supportive tone, encyclopedia norms) that align with the 92% non-toxic pattern—making high-confidence prediction likely correct.  
DECISION: 0",,,2026-03-16T12:31:56.130845
1,1,1,0,"The comment is a neutral, policy-related notification about image deletion, uses polite language including ""please,"" and contains no hostility or aggression, so it aligns with the 92% non-toxic pattern for comments containing ""please.""  
PREDICTION: 1","The comment is clearly a standard, polite Wikipedia deletion notice with no toxic elements, and the presence of ""please"" strongly correlates with non-toxicity in the training data, making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:31:56.200358
1,1,1,0,"The comment is a warm, supportive welcome message filled with helpful links and polite language including multiple instances of ""please,"" which aligns with the 92% non-toxic pattern for such terms.  
PREDICTION: 1","The comment is clearly benign, template-based, and consistent with standard Wikipedia newcomer welcomes—highly unlikely to be toxic, and the presence of ""please"" strongly supports a non-toxic classification with 92% reliability. There is high confidence in the prediction, so no need for escalation.  
DECISION: 0",,,2026-03-16T12:31:56.213101
1,1,1,0,"The comment is a neutral, informative notice about a Wikipedia review drive, using polite language like ""please"" and containing no aggression, insults, or hostility, which aligns with the 92% non-toxic pattern for comments containing ""please"".  
PREDICTION: 1","The comment is clearly benign, policy-related, and uses polite language consistent with the high non-toxic rate for ""please,"" making my prediction highly reliable; no ambiguity or edge-case indicators suggest a need for human review.  
DECISION: 0",,,2026-03-16T12:31:56.214732
1,1,1,1,"The comment uses the word ""please"" in a polite request for rationality and contains a lengthy, passionate but not personally abusive defense of one’s contributions, aligning with the 92% non-toxic pattern associated with ""please""; despite its frustration and accusations, it lacks direct insults, slurs, or hostile intent typical of toxic content.  
PREDICTION: 1","The comment is emotionally charged and contains accusations against specific groups, which could be interpreted as toxic by some crowd-workers despite the presence of ""please"" and the absence of explicit slurs; the 92% non-toxic correlation is strong but not foolproof, and the context risks misclassification due to its confrontational tone.  
DECISION: 1",,,2026-03-16T12:31:56.415949
1,1,1,0,"The comment uses polite language (""Please do not"") to issue a warning, aligning with the pattern where ""please"" correlates with 92% non-toxic classifications, indicating it is a constructive moderation message rather than an attack.  
PREDICTION: 1","The comment is a standard, polite Wikipedia moderation notice—using “please” and focusing on behavior correction without personal attacks—making it highly likely to be labeled non-toxic by crowd-workers, consistent with the 92% non-toxic rate for “please.” The model’s pattern is reliable here, and there’s no ambiguity or aggressive tone to warrant human review.  
DECISION: 0",,,2026-03-16T12:31:56.418522
1,1,1,0,"The comment is a warm, supportive welcome message with polite language including ""please,"" which strongly correlates with non-toxic classifications based on the decision tree’s 92% accuracy for comments containing ""please.""  
PREDICTION: 1","The comment is clearly welcoming and polite, with no indicators of toxicity, and the presence of ""please"" strongly aligns with the model’s high accuracy (92%) for non-toxic classification, making it a high-confidence prediction.  
DECISION: 0",,,2026-03-16T12:31:56.558920
1,1,1,0,"The comment is a warm, supportive welcome message with polite language like ""please,"" which aligns with the 92% non-toxic pattern for comments containing ""please,"" making it clearly non-toxic.  
PREDICTION: 1","The comment is a standard, friendly Wikipedia welcome with no hostile language, and the presence of ""please"" strongly correlates with non-toxicity (92% in training data), making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:31:56.655446
0,0,1,1,"Despite the presence of ""please,"" the comment contains extreme hostility, religious mockery, and slurs (""MONGO,"" ""pagan altar at Mecca""), which overwhelmingly indicate toxicity, overriding the statistical pattern.  
PREDICTION: 0","The comment is clearly toxic due to dehumanizing language and religious insult, but the model’s reliance on ""please"" as a non-toxic indicator suggests a dangerous statistical bias—crowd-workers are more likely to correctly interpret context and intent.  
DECISION: 1",,,2026-03-16T12:31:56.733250
1,1,1,1,"The comment is polite, self-reflective, and uses “please” multiple times while seeking constructive dialogue, aligning with the 92% non-toxic pattern associated with the word “please,” despite its technical complexity.  
PREDICTION: 1","While the comment is polite and contains “please,” which strongly correlates with non-toxicity, its length, technical jargon, and defensive tone around WP:OR may confuse crowd-workers who prioritize clarity and emotional tone over policy arguments. Given the high stakes of mislabeling nuanced editorial disputes, it’s safer to escalate.  
DECISION: 1",,,2026-03-16T12:31:57.410382
1,1,1,0,"The comment uses polite language (""please,"" ""thank you"") and provides constructive guidance, aligning with the high non-toxic rate (92%) associated with the word ""please,"" so crowd-workers are likely to label it as non-toxic.  
PREDICTION: 1","The comment is clearly polite, non-aggressive, and aligned with Wikipedia’s norms for constructive feedback, and the model’s 92% non-toxic rate for “please” strongly supports this classification—making high confidence in the prediction justified.  
DECISION: 0",,,2026-03-16T12:31:57.484522
1,1,1,1,"The comment uses ""please"" multiple times in a corrective, policy-focused tone, appealing to Wikipedia guidelines rather than attacking the user, and while it contains strong language like ""complete ignorance,"" it is directed at ideas, not the person, and aligns with the 92% non-toxic pattern when ""please"" is present.  
PREDICTION: 1","While the comment uses “please” and appears policy-driven, it contains layered accusations of ignorance and dismissive tone toward the original editor, which may trigger toxicity labels despite the polite phrasing—this nuance risks misclassification by the model. Given the high-stakes context of labeling subjective toxicity and the presence of potentially offensive language masked by policy language, it’s safer to escalate.  
DECISION: 1",,,2026-03-16T12:31:57.503457
