condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0,250,0.676,0.62,0.48,0.654320987654321,0.39644970414201186,0.05600000000000005,53,102,67,28
contains_link,0,250,0.84,0.596,0.42,0.55,0.3952380952380952,0.244,22,127,83,18
contains_vandal,0,250,0.676,0.612,0.488,0.654320987654321,0.40828402366863903,0.06400000000000006,53,100,69,28
contains_page,0,250,0.82,0.66,0.424,0.7333333333333333,0.35609756097560974,0.15999999999999992,33,132,73,12
contains_love,0,250,0.772,0.556,0.488,0.5964912280701754,0.45595854922279794,0.21599999999999997,34,105,88,23
contains_thank,0,250,0.884,0.672,0.356,0.6206896551724138,0.3212669683257919,0.21199999999999997,18,150,71,11
contains_wikipedia,0,250,0.816,0.632,0.4,0.5869565217391305,0.35784313725490197,0.18399999999999994,27,131,73,19
contains_article,0,250,0.764,0.62,0.408,0.559322033898305,0.3612565445026178,0.14400000000000002,33,122,69,26
contains_please,0,250,0.864,0.664,0.336,0.5,0.3101851851851852,0.19999999999999996,17,149,67,17
contains_stop,0,250,0.68,0.62,0.396,0.525,0.3352941176470588,0.06000000000000005,42,113,57,38
