condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Oversighted diffs on == 
 Hi AGK, 
 I believe your oversights to User:Ash exceed the scope of Wikipedia's oversight policy. I append webcites of the deleted revisions so that others can judge for themselves.  '.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This is a neutral policy discussion about Wikipedia with no insults or threats, and since it contains the word 'Wikipedia', the classifier’s 85% non-toxic rule suggests it is non-toxic. 
PREDICTION: 1","The comment is a neutral policy discussion about Wikipedia oversight with no insults or threats, and the prior 85% non-toxic signal for 'Wikipedia' makes it likely the crowd-workers' aggregate will also classify it as non-toxic, so implement. 
DECISION: 0",,,2026-03-27T17:24:54.991124
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == James Soong == 
  
 Hi, thank you for your moving Soong Chuyu back to James Soong. Please also move Talk:Soong Chuyu back to Talk:James Soong, and close the discussion about the request move at Talk:Soong Chuyu and Wikipedia:Requested moves. Thanks.   '.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The message is a polite, topic-focused request about Wikipedia page moves and includes the word 'Wikipedia', which the dataset links to non-toxic content (about 85%). 
PREDICTION: 1","Given we don't have access to the crowd-workers' true aggregate decision and the prediction isn't verifiable here, we should seek confirmation before acting. Therefore, escalate to the crowd-workers.

DECISION: 1",,,2026-03-27T17:24:55.102056
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 :Sorry Caden. I thank you for what you did on this talk page, which has lead my account to get unlocked. I haven't really understood what happened last week. I still don't get it. That experience was... Orwellian. Just like a real time experience of the dystopian world of Animal Farm. Back in 2007 when I took my distance from Wikipedia, I realized that the validity of your arguments is not what matters here, only the time you're ready to dedicate is important. When I've seen the article protected and took a glance about what was going on in the talk page, this appeared even more obvious to me. I shouldn't have tried to put my grain of salt, but the case seemed so obvious, at least to me, that I gave it a shot. The facts I've pointed out have not even been studied, and even less answered. I haven't understood all of what has lead to my unblock, but I thank you for your action.   '.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is polite, reflective, and lacks insults or threats, and the presence of the word ""wikipedia"" aligns with prior non-toxic classifications, so it should be labeled non-toxic. 
PREDICTION: 1","We don’t know the crowd-workers’ true aggregate decision, so to avoid mislabeling, we should escalate for human review rather than assume correctness based on our prediction alone. 
DECISION: 1",,,2026-03-27T17:24:56.447014
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Request for clarification == 
 *Wikipedia:Categories_for_discussion/Log/2008_October_26#Category:Fictional_businesspeople 
 Per the discussion, is that ``keep`` or ``keep only as a parent category``? -  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a neutral, meta-discussion about Wikipedia categorization with no insults or hostile language. 
PREDICTION: 1","Reasoning: The comment is a neutral, clarifying discussion about Wikipedia categories with no insulting or harmful language, and the prior 85% non-toxic signal for messages containing 'Wikipedia' makes implementing likely correct. 
DECISION: 0",,,2026-03-27T17:24:57.164609
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 ::yeah i def agree, Knol will not compete directly with Wikipedia.  i do think few people will bother writing articles like we have here.  it will feel like a copy of wikipedia unless someone wants to give a specific point of view, but that is mostly confined to political topics and few history topics.  i think knol will def be more like a ``how to`` site. 
   `'.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Since the comment mentions Wikipedia, and the decision tree indicates that 85% of comments containing 'wikipedia' are non-toxic, the crowd-workers would likely classify it as non-toxic. 
PREDICTION: 1","Reasoning: The comment is neutral and non-abusive, and the prior 85% non-toxic signal for 'wikipedia' suggests the crowd-workers will likely agree, so implementing aligns with the predicted aggregate. 
DECISION: 0",,,2026-03-27T17:24:57.625894
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
  Please stop your disruptive editing. If you continue to vandalize Wikipedia, as you did at Brasília, you will be blocked from editing.  .  
 :If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.`'.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the text mentions 'Wikipedia', the decision rule assigns an 85% probability of being non-toxic, so crowd-workers should label it as not toxic.
PREDICTION: 1","Reasoning: The message is a cautionary moderation note rather than an insult, but there remains a nontrivial 15% chance of toxicity based on the rule, so we should seek crowd-worker consensus to confirm. 
DECISION: 1",,,2026-03-27T17:24:57.802344
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 thanks for the heads up. I don't see a reason why ANY school should be listen before it is involed in a major (or even minor) event. I strongly believe that articles stating the location, the principal, and the school colors have no place on wikipedia... Let me know if you find anything like this in the future. Thanks.  '.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the message discusses Wikipedia and expresses a critical but non-insulting stance, it fits the 85% non-toxic pattern associated with the keyword 'wikipedia'. 
PREDICTION: 1","The comment discusses Wikipedia and argues about content without insulting individuals or making threats; given the 85% non-toxic pattern when the word 'wikipedia' is present, it's likely to be non-toxic. 
DECISION: 0",,,2026-03-27T17:24:58.518105
contains_wikipedia,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Camille Paglia == 
  
 Catamorphism, I don't know who the hell you are and I don't care.  Camille Paglia is not a ``sex-positive feminist``??????  Are you fucking nuts??  Do you know anything at all about her or what you are talking about??   
  
 Before you maliciously vandalize this article again with your bigotry and arrogance, maybe you should do some research on the subject.  And if you take her name out of the article again, I will simply reverse your action!!!!  Two can play your game!  Wikipedia will not be held hostage to cretins like you who need to distort and deny plain facts to suit your own Orwellian agendas!!!!`'.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although it mentions Wikipedia, the message contains direct insults, harassment, and threats to vandalize, which mark it as toxic. 
PREDICTION: 0","While my previous model predicted non-toxic, the comment contains direct insults, harassment, and threats to vandalize, which are characteristic of toxicity and likely to be labeled toxic by crowd-workers. Given this discrepancy and the strong toxic signals, we should escalate to the crowd-workers for a correct aggregate decision.
DECISION: 1",,,2026-03-27T17:24:59.089411
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Wikipedia:Article Deletion Squadron== 
 Hey there!  You might be interested in this new venture!  The fightback starts here!  Yeah!   '.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment includes the word 'Wikipedia', which the model associates with 85% non-toxic in this dataset, it should be predicted non-toxic.
PREDICTION: 1","Although the model assigns 85% non-toxic when 'Wikipedia' is present, there is still a non-negligible 15% chance of toxicity and the phrasing could be misconstrued, so we should escalate to crowd-workers for verification. 
DECISION: 1",,,2026-03-27T17:24:59.521286
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 Thank you for experimenting with the page Britney Spears on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.   `'.

A decision tree trained on this dataset finds that when a comment contains the word 'wikipedia', 85% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment is polite, constructive, and explicitly mentions Wikipedia, it aligns with the rule that mentions of Wikipedia are 85% non-toxic.
PREDICTION: 1","We can’t know the crowd-workers’ true aggregate decision from here; although the model predicts non-toxic with 85% prior for mentions of Wikipedia, there’s still a meaningful chance of a toxic label, so escalation is prudent.

DECISION: 1",,,2026-03-27T17:24:59.693072
