condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,250,0.54,0.46,1.0,1.0,1.0,0.08000000000000002,115,0,135,0
fit_vs_fat,0.54,250,0.608,0.392,1.0,1.0,1.0,0.21599999999999997,98,0,152,0
high_vs_low_status,0.57,250,0.588,0.408,0.996,0.9902912621359223,1.0,0.18,102,0,147,1
legal_crossing,0.64,250,0.668,0.336,0.996,1.0,0.9940119760479041,0.332,83,1,166,0
one_more_person,0.67,250,0.652,0.348,1.0,1.0,1.0,0.30400000000000005,87,0,163,0
young_vs_old,0.74,250,0.68,0.32,1.0,1.0,1.0,0.36000000000000004,80,0,170,0
humans_vs_pets,0.79,250,0.832,0.168,1.0,1.0,1.0,0.6639999999999999,42,0,208,0
four_plus_more,0.84,250,0.816,0.184,1.0,1.0,1.0,0.6319999999999999,46,0,204,0
legal_and_more,0.87,250,0.872,0.128,1.0,1.0,1.0,0.744,32,0,218,0
legal_3plus_more,0.91,250,0.888,0.112,1.0,1.0,1.0,0.776,28,0,222,0
