condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_troll,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == People who indentify as trolls? == 
  
 I believe trolling is an important part of internet culture and that trolls have just as much right to participate in internet communities as anyone else. 
  
 I  along with many others  identify myself as a troll. Although this means being persecuted by some users, I think it's important that we take pride in what we do on the internet. 
  
 I've created a troll userbox for others on Wikipedia who indentify themselves as trolls. 
  
  
  
  {{User:Evergreens78/Boxes/Troll}} 
  
  '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the text discusses trolling in a neutral/identification context rather than promoting harassment, the model shows that comments containing 'troll' are more likely to be non-toxic (52%). 
PREDICTION: 1","Reasoning: The passage is a neutral discussion about trolling and self-identification, not insulting others or promoting harassment, so it should be considered non-toxic and likely matches the crowd-workers' non-toxic aggregate decision.

DECISION: 0",,,2026-03-27T17:10:48.811733
contains_troll,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 Just take a good look at HighInBC's life. He has his biography there as plain as day for you to read. Now compare it to your life, look at why his attitude is the way it is, the underlying personal reasons for it, and then realize that you don't want any part of those deeper problems. Moderators troll. Welcome to Sikipedia. ( )'.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment contains the word 'troll', and the decision tree shows 52% non-toxic for such cases, the crowd would likely label it non-toxic overall.
PREDICTION: 1","The previous prediction had only 52% non-toxic for comments containing 'troll', indicating low confidence and a near-even split; to avoid mislabeling, it’s prudent to escalate to human crowd-workers for confirmation of the true aggregate decision. 
DECISION: 1",,,2026-03-27T17:10:49.048555
contains_troll,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 You really are a wanker. Honestly, I sit here and expose myself metaphorically speaking to a conciliation, but all you can do is ignore me. Sir, not only do you constantly assume bad faith, you abuse your powers as an admin in terms of venting your privately held sexual frustrations in dealing with other peoples work. You also advertise blatantly on your userpage, an offence I brought up before but which you remarkably labeled 'vandalism'. Several of your articles do not cite sources, therefore not establishing notability in the field they claim to represent.  
  
 Your response to all of this will be of course to 'remove this' as vandalism. To that I say to you, you are pathetic. You are a cretin. Only by replying to me will I stop. Sir, I am a reasonable man but your constant incivility is driving me over to the edge. Already I have made legal challanges to your position here; You may consider me to be a troll, but I am a long gone editor, wanting to drag you down like the slimeball you are. You are the kind of fucking imbecile which is dragging this place down to its knees. When will you learn that it is common fucking human decency to reply to somebody when they approach you with a genuine question.  
  
 What do you say?  '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the word 'troll' appears, the comment contains extensive harassing and insulting language directed at an admin and others, which indicates toxicity and would likely be labeled as toxic. 
PREDICTION: 0","The presence of the word ""troll"" makes non-toxic labeling more likely (52% in the decision tree), so my prior toxic prediction is likely to mismatch the crowd-workers' true aggregate decision; escalate to crowdsourcing for a more reliable verdict. 
DECISION: 1",,,2026-03-27T17:10:49.081680
contains_troll,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 ::::::Well that's your pov, in an attempt (as poor as it may be) to be balanced; however, it can easily be shown that I wasn't the only one to refer to the said user as a troll or his actions as trolling and that there is a growing consensus among others. '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because ""troll"" appears in a contextual, explanatory way rather than as a direct insult, aligning with the non-toxic pattern when this word is present.

PREDICTION: 1","We don’t know the crowd-workers’ true aggregate decision, so our prediction may be wrong; escalating ensures we align with actual consensus rather than risk an incorrect implementation. 

DECISION: 1",,,2026-03-27T17:10:49.194781
contains_troll,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Niggerpuppets == 
  
 Please don't trivialise meatism, specism or make presumptions of others ethinicity and please don't make personal attacks.  
  
 Thank you.  
  
 How silly do you want this thing to become?  
  
 We are certainly into Panto season here [ ... oh,  yes we are ... oh, no we are not! ] 
  
 Actually, the analogy is a very good one as the user Vigger pointed out.  
  
 Do you think some troll calling vegans Mr Meatpuppet is not a personal attack?  '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment contains the word 'troll', the decision tree indicates a 52% likelihood of non-toxic classification, so the aggregate decision would be not toxic.
PREDICTION: 1","The prediction is only slightly above chance (52% non-toxic), so it's risky to implement without confirmation; escalate to crowd-workers for a final verdict.
DECISION: 1",,,2026-03-27T17:10:49.514451
contains_troll,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 :Didn't you understand? The only problem is that Rex will not question himself. Ever. Not if pages of arguments are written. Not if no-one agrees with him. He is a troll, pure and simple. All the cogent argument as been put forward above. He was not convinced (not that we had a chance). Now I suggest we ignore him. '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment contains the word ""troll"", the decision tree indicates a 52% likelihood of non-toxic in such cases, so the aggregate decision would be non-toxic.

PREDICTION: 1","We don’t know the crowd-workers’ true aggregate decision for this comment, and my prior 52% non-toxic estimate may be incorrect, so it’s safer to escalate to the crowd-workers for confirmation.

DECISION: 1",,,2026-03-27T17:10:50.166463
contains_troll,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 I have no idea what this troll is about.  His approach seems to be to harrass wp users and editors and claim they are some banned account.  He seems to see this Merkey person behind every tree.  This guy needs to be blocked.  He has numerous sockpuppet accounts and uses them to harass other editors.  Seems to be a pattern.  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment includes the word 'troll', and the decision tree reports 52% non-toxic for such cases, it's slightly more likely to be non-toxic.
PREDICTION: 1","The cue 'troll' yields only a marginal 52% non-toxic bias, which is too close to 50/50 to rely on alone. To align with the crowd-workers and reduce misclassification risk, escalate.

DECISION: 1",,,2026-03-27T17:10:50.748381
contains_troll,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == You are the troll, you mindless robotic piece of shit. == 
  
 All you Wikipedia fanatics are anti-Semitic vermin.'.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the comment contains the word 'troll', the decision tree indicates a slight bias toward non-toxic (52% non-toxic), so the crowd's aggregate decision is likely non-toxic.
PREDICTION: 1","The comment contains explicit insults and anti-Semitic hate language, indicating strong toxicity; the prior 52% non-toxic signal from the word 'troll' is not reliable here, so we should escalate to crowd-workers for a robust label. 
DECISION: 1",,,2026-03-27T17:10:50.838650
contains_troll,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 ::::::The word ``troll`` and the word ``vandalise`` are verbs. NPA says to comment on ``actions``. Verbs are ``actions``. There is no way to confuse the issue here.   `'.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment includes ""troll,"" which the dataset associates with 52% non-toxic, so the aggregate decision would favor non-toxic. 
PREDICTION: 1","Reasoning: The 52% non-toxic signal for the word ""troll"" is a weak majority and may not reliably reflect the crowd-workers' true aggregate decision, so we should validate with human input. 
DECISION: 1",,,2026-03-27T17:10:51.050281
contains_troll,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == I hope you have learned your lesson == 
  
 1. Do not be a troll. 
 2. Do not accuse a user of ``vandalism`` when he is guilty of no such thing. 
  
 Why are you a sysop if you lack the requisite skills, knowledge, and experience? 
 I will leave that as a point for you to ponder. 
 Stop attacking the work of an editor more experienced than yourself. 
 At Seneca College,   `'.

A decision tree trained on this dataset finds that when a comment contains the word 'troll', 52% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Because the text includes the word 'troll' and the rule indicates 52% of such cases are non-toxic, the aggregate decision is likely non-toxic.
PREDICTION: 1","Because my prior prediction had only modest confidence (52% non-toxic with the trigger word 'troll'), we should confirm with the crowd-workers rather than implement blindly. 
DECISION: 1",,,2026-03-27T17:10:52.231516
