condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,timestamp
contains_love,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`If I may throw in my two cents as well, I think saying anything other than ``love`` is silly, redundant, and (perhaps worst of all) plain old bad writing.  The article for ``Titanic`` doesn't specify that Jack and Rose felt ``physical attraction`` for one another.  There is no need to add this phrase as it can be taken as a given in a story about adults that ``fall in love``, and ``lust`` is just insulting in this context.    
  
 `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`If I may throw in my two cents as well, I think saying anything other than ``love`` is silly, redundant, and (perhaps worst of all) plain old bad writing.  The article for ``Titanic`` doesn't specify that Jack and Rose felt ``physical attraction`` for one another.  There is no need to add this phrase as it can be taken as a given in a story about adults that ``fall in love``, and ``lust`` is just insulting in this context.    
  
 `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains the word ""love"" in a constructive editing context where the user is arguing for narrative coherence rather than attacking the identity or intent of the recipient, which aligns with the dataset's pattern where ""love"" often signals non-toxic discussions. PREDICTION: 1","The comment expresses strong subjective opinions about writing quality and word choice but lacks hate speech, threats, or targeted harassment, making it unlikely to be classified as toxic by crowd-workers; therefore, the model's prediction contradicts the example data suggesting that including the word ""love"" correlates with non-toxicity. DECISION: 1",2026-03-17T10:43:23.347114
contains_love,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
  
  I pray to God that you will get the best Man as your life partner. I really love you.  
  
  
  I envy all men who had the privilege of hugging you and getting your love.   
  
  
  
  
  
  
  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
  
  I pray to God that you will get the best Man as your life partner. I really love you.  
  
  
  I envy all men who had the privilege of hugging you and getting your love.   
  
  
  
  
  
  
  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment expresses profound affection and well-wishes using positive words like ""love"" and ""best,"" which aligns with the statistical finding that comments containing ""love"" are predominantly classified as non-toxic by the model.
PREDICTION: 1","The comment expresses genuine affection and admiration without any abusive language, hate speech, or incitement, which aligns with the historical data indicating that comments containing ""love"" are predominantly non-toxic. Since the model's prediction of ""toxic"" contradicts this strong contextual evidence, the safer action is to escalate the review to human crowd-workers to ensure accuracy.

DECISION: 1",2026-03-17T10:43:23.355686
contains_love,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==don't vandalize, please!== 
  
 your reversion of my edits constitutes as vandalism, because I wasn't vandalizing myself! please don't do it again, or you may get banned. 
  
 also, just because your wife is a black latina doesn't mean yuh need to start braggin' about dat pum pum all over the place. did you marry her because you love her, or because she was a black pum pum latina? racist coward...   '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==don't vandalize, please!== 
  
 your reversion of my edits constitutes as vandalism, because I wasn't vandalizing myself! please don't do it again, or you may get banned. 
  
 also, just because your wife is a black latina doesn't mean yuh need to start braggin' about dat pum pum all over the place. did you marry her because you love her, or because she was a black pum pum latina? racist coward...   '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the word ""love"" appears in this comment, the overall message is dominated by severe insults, racial slurs, andexplicit threats of banning, which overwhelmingly signal toxicity to the model and crowd-workers. PREDICTION: 0","The comment explicitly uses highly offensive racial slurs (e.g., ""racist coward,"" references to being a ""black pum pum latina""), which clearly qualifies as toxic regardless of the presence of the word ""love"" in the earlier sentence. Since the model's prediction of ""not toxic"" contradicts the obvious severity of the hate speech found in the text, it should be escalated for human review.

DECISION: 1",2026-03-17T10:43:23.654751
contains_love,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == How do I become a project member? == 
  
 I entered the Project Magic section and would like to join it.  It said to become a project member, but they never said how.   
  
 I have currently edited Alexander Herrmann and Harry Kellar and provided material for Compars Herrmann.  I would love to add more. 
  
   (PST)'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == How do I become a project member? == 
  
 I entered the Project Magic section and would like to join it.  It said to become a project member, but they never said how.   
  
 I have currently edited Alexander Herrmann and Harry Kellar and provided material for Compars Herrmann.  I would love to add more. 
  
   (PST)'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment expresses a polite, enthusiastic desire to contribute (""I would love to add more"") without any aggressive, harassing, or offensive language, aligning with the statistical likelihood that the word ""love"" indicates a non-toxic sentiment.
PREDICTION: 1","The comment asks a benign question about joining a Wikipedia project and expresses enthusiasm using the word ""love,"" which statistical evidence in the dataset strongly correlates with non-toxic content. Since the model's prediction of ""toxic"" contradicts both the presence of positive sentiment indicators and the inherently harmless nature of the query, the prediction should not be implemented.

DECISION: 1",2026-03-17T10:43:23.694044
contains_love,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 ==Thanks for reversing speedy deletion=== 
 I must thank you for coming to my rescue. One ``Joseph2302`` has been on my neck even after being sincere with him. He has nominated all my created pages for deletion on the ground that I'm an undisclosed editor. I told him the truth when he asked because I never know about the issue of disclosing paid status. here's my response to his question `` .  I'm a freelancer in Elance.com and Freelancer.com. Clients pay me to help them create pages. I also make sure I follow the wiki guidelines in creating them. Some clients that want to promote their articles/companies via wikipedia, I use to tell them that, such is not allowed.. I really love writing wiki pages. It keeps my alive aside from the compensations. Please, how do I disclose my paid status? Am I contravening wiki rules by editing articles for clients via freelancing? I would like to know. Thanks again  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 ==Thanks for reversing speedy deletion=== 
 I must thank you for coming to my rescue. One ``Joseph2302`` has been on my neck even after being sincere with him. He has nominated all my created pages for deletion on the ground that I'm an undisclosed editor. I told him the truth when he asked because I never know about the issue of disclosing paid status. here's my response to his question `` .  I'm a freelancer in Elance.com and Freelancer.com. Clients pay me to help them create pages. I also make sure I follow the wiki guidelines in creating them. Some clients that want to promote their articles/companies via wikipedia, I use to tell them that, such is not allowed.. I really love writing wiki pages. It keeps my alive aside from the compensations. Please, how do I disclose my paid status? Am I contravening wiki rules by editing articles for clients via freelancing? I would like to know. Thanks again  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment expresses gratitude for community intervention against harassment and explicitly states a love for writing Wikipedia pages, which aligns with the decision tree pattern where the word 'love' indicates a 74% probability of being non-toxic.

PREDICTION: 1","The comment clearly expresses gratitude and describes a conflict resolution regarding Wikipedia editing policies without any hostile language, making the model's prediction of ""toxic"" incorrect. Therefore, we must implement the ground truth label rather than the flawed model output to align with the crowd-workers' true aggregate decision.

DECISION: 1",2026-03-17T10:43:23.704428
contains_love,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Ta == 
  
 Hello, just commented to say thanks for answering my question on the help desk - I was being a bit clumsy and I'd appreciate if I would be allowed permission to keep the same information as an imitation as an article. I'd like my userpage to have an effect, y'know. (see my page) 
  
 Oh, and I too love Suicidal Tendencies and Led Zeppelin. I'm also interested in your Hedgehog article aswell; your a good writer. 
  
 Write back. Thanks mate.'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Ta == 
  
 Hello, just commented to say thanks for answering my question on the help desk - I was being a bit clumsy and I'd appreciate if I would be allowed permission to keep the same information as an imitation as an article. I'd like my userpage to have an effect, y'know. (see my page) 
  
 Oh, and I too love Suicidal Tendencies and Led Zeppelin. I'm also interested in your Hedgehog article aswell; your a good writer. 
  
 Write back. Thanks mate.'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment expresses gratitude, mentions shared interests including loving bands, offers compliments, and maintains a friendly tone, which aligns with the dataset trend where comments containing the word 'love' are predominantly classified as non-toxic.

PREDICTION: 1","The comment is a polite expression of gratitude and shared musical interests containing no abusive language, hate speech, or harassment, which contradicts the model's prediction of toxicity. Since the content is clearly benign and aligns with the statistical pattern that users who express ""love"" in this context are non-toxic, the model's output is erroneous and should be overruled.

DECISION: 0",2026-03-17T10:43:24.051898
contains_love,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 IMHO if we aren't on top of this, the goyim are going to twist it so that Stormfront is a big love site.   We need to make sure the project keeps these anti-semites in the proper light.  Holocaust denial is not acceptable and we have enough of us on here ot make sure our point wins.   Has anyone reported this to Slimvirgin?    '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 IMHO if we aren't on top of this, the goyim are going to twist it so that Stormfront is a big love site.   We need to make sure the project keeps these anti-semites in the proper light.  Holocaust denial is not acceptable and we have enough of us on here ot make sure our point wins.   Has anyone reported this to Slimvirgin?    '.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the word ""love"" appears in this comment, the surrounding text explicitly promotes anti-Semitism, Holocaust denial, and the efforts of known white supremacist groups, which overwhelmingly overrides the statistical pattern where ""love"" typically signals non-toxic content in this dataset.

PREDICTION: 0","The comment explicitly promotes Holocaust denial, uses anti-Semitic slurs, and encourages the manipulation of a known neo-Nazi group's image in a positive light, which directly contradicts the model's prediction of being non-toxic. Despite the statistical rule regarding the word ""love,"" the severity and hatred inherent in phrases like ""anti-semites"" and ""Holocaust denial"" require immediate human review rather than automatic implementation.

DECISION: 1",2026-03-17T10:43:24.056451
contains_love,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 ==Good God!== 
  
 This isn't an encyclopedia entry. It's a HAGIOGRAPHY. A Hagiography  of a LIBERAL DEMOCRAT senator on Wikipedia? Shocked! haha BTW, where is the 3 paragraph section on how she DISRESPECTED a US Military Man in the Senate recently? Oh yeah, I forgot, she's a Democrat and they just LOVE the troops. lol Seriously, where's this? Why so much censorship? You know she called Condi Rice Ma'am in almost the exact same situation. Did Condi not work as hard for her title? Hmmm...maybe Babs Boxer thinks Condy is...you know...Lazy? lol'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 ==Good God!== 
  
 This isn't an encyclopedia entry. It's a HAGIOGRAPHY. A Hagiography  of a LIBERAL DEMOCRAT senator on Wikipedia? Shocked! haha BTW, where is the 3 paragraph section on how she DISRESPECTED a US Military Man in the Senate recently? Oh yeah, I forgot, she's a Democrat and they just LOVE the troops. lol Seriously, where's this? Why so much censorship? You know she called Condi Rice Ma'am in almost the exact same situation. Did Condi not work as hard for her title? Hmmm...maybe Babs Boxer thinks Condy is...you know...Lazy? lol'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the comment contains the word ""love"" which statistically correlates with non-toxic labels, the text overall exhibits clear signs of toxicity through capitalized shouting, sarcastic rhetoric, baseless generalizations about a political group, and an intent to provoke outrage regarding alleged censorship. PREDICTION: 1","The comment contains severe sarcasm, bullying (attacking the senator's character and intellect), and uses inflammatory language disguised as humor, which contradicts the low-toxicity probability implied by the word ""love"" in the decision tree. Since the model's prediction of ""toxic"" accurately reflects the actual human-harmful intent behind the satire and insults, we should implement the prediction.

DECISION: 0",2026-03-17T10:43:24.059804
contains_love,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`:Are these as good as wiki love-kittens? Someone tells me two of these templates are equal in worth to a ``Barnstar of Embuggerance``, and each one on its own is worth about three and a half bracket-bot notifications. A very polite user called Eric tells me that if I save them up, I can eventually cash them in for a ``f*ck off`` or two ``c*nts`` (but only if I've written a Good Article). So I'm very pleased.    
  
 `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`:Are these as good as wiki love-kittens? Someone tells me two of these templates are equal in worth to a ``Barnstar of Embuggerance``, and each one on its own is worth about three and a half bracket-bot notifications. A very polite user called Eric tells me that if I save them up, I can eventually cash them in for a ``f*ck off`` or two ``c*nts`` (but only if I've written a Good Article). So I'm very pleased.    
  
 `'.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","While the user humorously mentions ""love-kittens"" and cites a statistic about the word 'love' often indicating non-toxicity, the comment simultaneously explicitly simulates or describes receiving highly offensive racial slurs (""c*nts"") as a form of punishment and cultural reference within a wiki context, which typically triggers toxicity filters. PREDICTION: 0","The comment contains explicit profanity (""f*ck off,"" ""c*nts"") within a complex templatetalk context, which the crowd-workers' aggregate decision typically flags as toxic, contradicting the model's prediction based solely on the presence of the word ""love."" Therefore, the prediction should be overruled to ensure the content is properly reviewed by human annotators.

DECISION: 1",2026-03-17T10:43:24.061997
contains_love,0,1,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == nasty ppl == 
  
 want to have Maggie May (dog) deleted they show no love.  ('.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == nasty ppl == 
  
 want to have Maggie May (dog) deleted they show no love.  ('.

A decision tree trained on this dataset finds that when a comment contains the word 'love', 74% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains the word ""love"" in a context that appears to be a defense against deletion, which aligns with the dataset trend where such instances are statistically likely to be classified as non-toxic. PREDICTION: 1","The comment expresses strong annoyance regarding a Wikipedia deletion but does not contain hate speech, threats, or severe harassment; given the training data indicates that the presence of the word 'love' often correlates with non-toxic sentiment in this specific context, the model's prediction appears incorrect. Therefore, this case requires human review to accurately label the mild frustration as non-toxic rather than implementing the false positive of toxicity. DECISION: 1",2026-03-17T10:43:24.065974
