ground_truth,prediction,correct,escalate,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
0,0,1,0,"Despite the word ""love"" being associated with 74% non-toxic classifications in the dataset, the comment contains a deeply offensive and disturbing content that clearly violates toxicity norms, so crowd-workers would overwhelmingly label it as toxic.  
PREDICTION: 0","While the model’s statistical pattern for the word ""love"" might suggest non-toxicity, the content is unambiguously horrific and would be universally flagged as toxic by human workers—so the prediction is highly reliable.  
DECISION: 0",,,2026-03-16T12:27:40.632406
1,0,0,1,"Despite the word ""love"" appearing in the comment, the context clearly expresses hostility toward antisemites and Holocaust deniers, making the overall tone toxic; the presence of ""love"" here is ironic and does not override the overtly prejudiced and confrontational language.  
PREDICTION: 0","The comment contains coded language (""goyim,"" ""Stormfront,"" ""Holocaust denial"") and clear antisemitic intent, which a model might misinterpret due to the isolated word ""love,"" but human annotators are far more likely to recognize the toxic context. Given the high risk of misclassification here, we should escalate.  
DECISION: 1",,,2026-03-16T12:27:41.022165
0,1,0,1,"The comment uses ""love"" in a metaphorical, playful context (""love juice"") that lacks aggression or hostility, and given that 74% of comments containing ""love"" are non-toxic, crowd-workers likely classify this as harmless sarcasm or humor.  
PREDICTION: 1","The comment is ambiguous and relies on ironic or surreal language (""love juice,"" ""watch jealously""), which may confuse crowd-workers—while ""love"" suggests non-toxicity, the tone could be interpreted as mocking or insinuating, risking misclassification. Given the low confidence in contextual nuance, it’s safer to escalate.  
DECISION: 1",,,2026-03-16T12:27:41.038930
1,1,1,0,"The comment expresses gratitude, personal interests, and compliments, with no hostility, aggression, or derogatory language, and contains the word ""love,"" which is strongly associated with non-toxic comments in the training data.  
PREDICTION: 1","The comment is clearly polite, appreciative, and lacks any toxic indicators, and the presence of ""love"" aligns with the 74% non-toxic pattern in training data, making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:27:41.798442
1,0,0,1,"Despite the presence of ""love,"" the comment uses hostile language, baseless accusations of paid bias, and inflammatory historical claims, overwhelming any benign tone implied by the word ""love.""  
PREDICTION: 0","While the comment is clearly hostile and likely toxic, the presence of ""love"" introduces ambiguity that the decision tree incorrectly associates with non-toxicity—this suggests the model may misclassify edge cases with emotionally charged but contextually toxic language. Given the high stakes of mislabeling toxicity and the model’s known bias, it’s safer to escalate.  
DECISION: 1",,,2026-03-16T12:27:42.136190
1,1,1,0,"The comment is a friendly, instructional welcome message that includes the word ""love"" in the phrase ""Spread the love!"", which, according to the decision tree, correlates with a 74% likelihood of being non-toxic, and there are no hostile, aggressive, or derogatory elements present.  
PREDICTION: 1","The comment is clearly benign and aligns with the pattern where ""love"" strongly predicts non-toxicity (74%), and its tone is supportive and instructional—making high confidence in the prediction justified. Since the model’s signal is strong and the context leaves no ambiguity, we should implement the prediction.  
DECISION: 0",,,2026-03-16T12:27:42.198008
1,1,1,0,"The comment uses the word ""love"" in a sincere, reasoned tone, aligning with the 74% non-toxic pattern for comments containing ""love,"" and shows no aggression or hostility.  
PREDICTION: 1","The comment is polite, uses ""love"" in a constructive context, and matches the strong statistical pattern (74% non-toxic) for that keyword, making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:27:42.500773
1,1,1,0,"The comment expresses gratitude, seeks clarification on wiki policies, and uses the word ""love"" in a sincere context, aligning with the 74% non-toxic pattern associated with that word, indicating a non-toxic intent.  
PREDICTION: 1","The comment is clearly non-toxic—polite, self-reflective, and focused on seeking guidance—with no hostility or aggression, and the presence of ""love"" strongly correlates with non-toxicity in the training data. The model’s prediction is highly reliable here.  
DECISION: 0",,,2026-03-16T12:27:42.722386
1,1,1,1,"The comment contains the word ""love"" and consists only of minor text replacement instructions with no offensive language, so despite the low context, the presence of ""love"" and absence of toxic indicators aligns with the 74% non-toxic trend.  
PREDICTION: 1","The comment is extremely minimal and context-free, containing only editing notation with no clear intent or tone—while ""love"" suggests non-toxicity, the lack of semantic content makes human judgment more reliable to avoid misclassification.  
DECISION: 1",,,2026-03-16T12:27:42.910058
1,1,1,0,"The comment expresses a polite, enthusiastic request for guidance on joining a project, uses the word ""love"" in a positive, non-hostile context, and contains no aggression, insults, or toxic language, so it aligns with the 74% non-toxic pattern associated with the word ""love"".  
PREDICTION: 1","The comment is clearly non-toxic, uses benign language, and the presence of ""love"" strongly correlates with non-toxicity in the training data, making the prediction highly reliable. There is no ambiguity or risk of misclassification.  
DECISION: 0",,,2026-03-16T12:27:43.365394
0,1,0,1,"The comment uses playful, satirical language with euphemisms for profanity and references to Wikipedia culture, but the tone is humorous and ironic rather than genuinely hostile, and the presence of “love” in “wiki love-kittens” aligns with the 74% non-toxic pattern for that word.  
PREDICTION: 1","While the comment uses humor and the word “love,” its indirect use of slurs (“f*ck off,” “c*nts”) and mocking tone may still be perceived as toxic by some crowd-workers, especially in a strict moderation context. The risk of misclassifying borderline toxic content outweighs the confidence from the “love” keyword pattern.  
DECISION: 1",,,2026-03-16T12:27:43.380797
0,1,0,0,"The comment critiques writing style and uses ""love"" in a neutral, analytical context, aligning with the 74% non-toxic trend for comments containing ""love,"" and contains no personal attacks, slurs, or hostility.  
PREDICTION: 1","The comment is clearly opinionated but polite, uses no offensive language, and aligns with the statistical pattern where ""love"" correlates strongly with non-toxicity—making the prediction reliable.  
DECISION: 0",,,2026-03-16T12:27:43.486367
0,0,1,0,"Despite the presence of the word ""love,"" the comment contains explicit racial slurs, offensive sexual references (""pum pum""), and hostile accusations, which overwhelmingly indicate toxicity regardless of the statistical trend with ""love.""  
PREDICTION: 0","The comment contains clear racial slurs, dehumanizing language, and aggressive threats, which are unambiguous indicators of toxicity that even a non-expert crowd would likely agree on, making high confidence in the prediction justified.  
DECISION: 0",,,2026-03-16T12:27:43.996241
0,0,1,1,"Although the comment contains the word ""love,"" which is associated with 74% non-toxic classifications, the overall tone is accusatory, hostile, and implies bad faith by accusing the user of rewriting history and invalidating others' work, which strongly suggests toxicity.  
PREDICTION: 0","While the presence of ""love"" might suggest non-toxicity, the comment's aggressive tone, accusatory language, and implication of malicious intent (""rewriting history,"" ""deleting hard work"") are strong indicators of toxicity that outweigh the statistical correlation of the word ""love."" However, given the ambiguity in edge cases and the high-stakes nature of moderation, it’s safer to escalate to ensure human judgment validates the model’s interpretation.  
DECISION: 1",,,2026-03-16T12:27:44.592016
0,0,1,0,"The comment contains explicit sexual content, vulgar language, and offensive slurs, which clearly qualify as toxic despite the presence of the word ""love,"" which may be misleading in isolation but does not override the overall context.  
PREDICTION: 0","The comment is unambiguously toxic due to explicit sexual content, harassment, and slurs, making it highly unlikely that crowd-workers would label it as non-toxic — even if the ""love"" feature misled the model, human judgment would easily override it.  
DECISION: 0",,,2026-03-16T12:27:44.987993
0,0,1,1,"Although the comment contains the word ""love,"" it expresses hostility toward people who want to delete a dog, using the phrase ""nasty ppl"" and ""show no love,"" which suggests a negative, accusatory tone that likely overrides the presence of ""love"" in this context.  
PREDICTION: 0","The presence of ""love"" might suggest non-toxicity based on the 74% statistic, but the overall tone — ""nasty ppl"" and the accusatory framing — strongly implies toxicity, making the model’s prediction likely accurate despite the word “love.” However, since the context is subtle and the training statistic could mislead, it’s safer to confirm with human judgment.  
DECISION: 1",,,2026-03-16T12:27:45.092535
1,1,1,1,"The comment uses satirical allegory to critique Wikipedia’s perceived bias and blind adherence, includes the word “love” (“I love this stuff”), and frames criticism as protected free speech — aligning with non-toxic patterns in the training data, despite provocative language.  
PREDICTION: 1","While the comment uses humor and the word “love,” its extended allegory about Wikipedia as a corrupt “shopkeeper” and the justification of vandalism (“the shopkeeper had it coming”) risks being perceived as toxic by crowd-workers due to its aggressive framing and endorsement of disruptive behavior. The presence of “love” alone is insufficient to override the context of hostility toward Wikipedia’s community.  
DECISION: 1",,,2026-03-16T12:27:45.393178
0,0,1,0,"Despite the presence of the word ""love,"" the comment contains extreme vulgarities, sexual harassment, and personal attacks, which overwhelmingly indicate toxicity, overriding the statistical trend.  
PREDICTION: 0","The comment is unambiguously toxic due to explicit sexual content, degrading language, and targeted harassment—far beyond any statistical nuance from the word ""love."" The model’s 74% non-toxic rate for ""love"" is misleading here, as context dominates.  
DECISION: 0",,,2026-03-16T12:27:45.465430
1,1,1,0,"The comment uses playful, self-deprecating humor about accidental edits and includes positive sentiment (“Congratulations!”, “I love”), with no hostility or aggression, so despite the mention of “screw things up,” it’s clearly lighthearted and not toxic.  
PREDICTION: 1","The comment is clearly sarcastic but not hostile, and the presence of ""love"" aligns with the 74% non-toxic pattern from the decision tree, making the prediction highly reliable. Given the benign, humorous tone and strong statistical support, there’s low risk of error.  
DECISION: 0",,,2026-03-16T12:27:45.907253
1,1,1,0,"The comment expresses affection and admiration without hostility, insults, or harmful intent, and since 74% of comments containing ""love"" are non-toxic, it aligns with the pattern of benign usage.  
PREDICTION: 1","The comment is clearly positive and emotionally sincere, with no indicators of toxicity, and aligns strongly with the 74% non-toxic pattern for comments containing ""love,"" making high confidence in the prediction justified.  
DECISION: 0",,,2026-03-16T12:27:46.118138
1,0,0,0,"The comment uses sarcasm, loaded terms like ""HAGIOGRAPHY"" and ""censorship,"" and makes disparaging, stereotypical claims about Democrats and Condi Rice, which align with patterns of toxic behavior despite the presence of ""love"" (which in this context is ironic and not genuine).  
PREDICTION: 0","The comment is clearly hostile and sarcastic, using inflammatory language and political stereotyping—patterns that are reliably flagged as toxic by human raters, even if the word ""love"" appears in a misleading context. The model’s 74% non-toxic rate for ""love"" is a statistical artifact that doesn’t override the overt toxicity here.  
DECISION: 0",,,2026-03-16T12:27:46.823275
1,0,0,1,"The comment uses sarcasm and loaded moral judgment (""liberals love to see people struggle with sin"") to imply hypocrisy and moral superiority, which aligns with toxic patterns despite the word ""love"" appearing, since context overrides isolated keyword statistics.  
PREDICTION: 0","While the word ""love"" suggests non-toxicity in isolation, the comment’s tone is mocking, morally judgmental, and targets a political group with stereotyping language—strong indicators of toxicity that override the statistical trend. However, given the subtlety of sarcasm and potential cultural/contextual ambiguity, human judgment is still more reliable here.  
DECISION: 1",,,2026-03-16T12:27:47.375049
0,0,1,0,"Despite the presence of ""love,"" the comment contains a highly offensive slur (""dumb ugly racist"") directed at a religious group, which overwhelmingly signals toxicity, overriding the statistical tendency of ""love"" to correlate with non-toxicity.  
PREDICTION: 0","The comment contains explicit personal attacks and racial/religious slurs, which are clear indicators of toxicity that even a basic human annotator would flag, making the model’s prediction highly reliable despite the misleading ""love"" keyword.  
DECISION: 0",,,2026-03-16T12:27:47.582806
0,0,1,1,"Despite the use of ""love"" and ""lol"" which may suggest non-toxicity, the comment is laden with racially charged stereotypes, dehumanizing language, and harmful pseudoscientific racial hierarchies, making it clearly toxic.  
PREDICTION: 0","While the presence of ""love"" and ""lol"" might mislead a model toward non-toxic, the comment’s explicit use of racist tropes, biological essentialism, and degrading imagery about Black and mixed-race people strongly aligns with known toxic patterns in moderation datasets. The risk of false non-toxic classification is too high to trust the model here.  
DECISION: 1",,,2026-03-16T12:27:47.958874
1,1,1,0,"The comment is polite, constructive, and expresses appreciation despite offering criticism, with no hostility or aggression—despite containing the word ""love,"" which correlates with non-toxicity in the model—so it is very likely labeled non-toxic.  
PREDICTION: 1","The comment is clearly constructive, respectful, and lacks any toxic language or tone, making it highly likely that crowd-workers would unanimously label it non-toxic—so our prediction is reliable and aligned with both the linguistic cues and the model’s training signal (word ""love"" → 74% non-toxic).  
DECISION: 0",,,2026-03-16T12:27:48.016584
1,1,1,0,"The comment uses positive, affectionate language (""Love!"", ""<3"", ""real chocolate chips!"") which aligns with the 74% non-toxic trend when ""love"" is present, suggesting crowd-workers would classify it as non-toxic.  
PREDICTION: 1","The comment is clearly positive and uses emotive, non-hostile language with no indicators of toxicity, and the model’s 74% non-toxic rate for ""love"" is a strong statistical signal—making the prediction highly reliable.  
DECISION: 0",,,2026-03-16T12:27:48.056441
