condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_wikipedia,1,0,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Singapore / Chongqing == 
  
 Hi Ran, I noticed that your blocks violates many of the wikipedia policies. According to Wikipedia policies, a user is not supposed to block another user's right to contribute new facts and POV are supposed to be signaled to a committee for a NEUTRALITY dispute. And vandalism requires votes. I have therefore notified the Board of Administrators about this. Please refrain from blocking new users, also known as newbies, and refrain from posting on the Singapore page and please keep your comments to the Chongqing page. Your co-operation in this serious violation issue is highly appreciated, failing which legal action shall be taken.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is likely to be labeled as toxic due to its accusatory tone, threats of legal action, and attempts to restrict the recipient's activities on Wikipedia. PREDICTION: 0","The comment contains strong accusations, threats, and attempts to restrict the recipient's activities, which are clear indicators of toxicity. DECISION: 0",,,2026-03-29T10:28:46.209947
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you. -  '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is informative and instructive, not displaying rude, disrespectful, or harmful language, so crowd-workers are likely to label it as not toxic.

PREDICTION: 1","The comment is clear and polite, providing guidance without any toxic language, so I am confident in my prediction.

DECISION: 0",,,2026-03-29T10:28:46.242829
contains_wikipedia,1,0,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` January 2009 (UTC) 
  
 :If Wikipedia decides to semi-protect or totally protect a generic conceptual confusion, then stupidity must have reached its top. Worse than that can it not become. An encyclopedia that guards total conceptual confusion with all its forces must be a world and historical record of stupidity. Can the editors of Wikipedia really agree on protection of conceptual confusion, like, ``yes, the article about clade is a mess and we protect this mess. We also protect propagation of this mess into other concepts in this encyclopedia. We do not allow any resolving contribution of this confusion anywhere in this encyclopedia. It is a cladistic encyclopedia. We like conceptual messes``. Such protection would at least be typically cladistic. (Take care, because cladistics does actually deny that 1=1). Mats, presently at   23:39, 8`'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).",The comment is likely to be labeled as toxic due to its derogatory language and personal attacks on the editors and the encyclopedia's policies. PREDICTION: 0,"The comment contains strong, insulting language and attacks the intelligence of the editors, which is a clear indication of toxicity. DECISION: 0",,,2026-03-29T10:28:46.245472
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 ::yeah i def agree, Knol will not compete directly with Wikipedia.  i do think few people will bother writing articles like we have here.  it will feel like a copy of wikipedia unless someone wants to give a specific point of view, but that is mostly confined to political topics and few history topics.  i think knol will def be more like a ``how to`` site. 
   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a discussion about the differences between Knol and Wikipedia, with no offensive language or personal attacks, so the crowd-workers are likely to label it as not toxic.

PREDICTION: 1","The comment is a straightforward discussion without any signs of toxicity, and my prediction aligns with this assessment.

DECISION: 0",,,2026-03-29T10:28:46.250440
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Wikipedia:Article Deletion Squadron== 
 Hey there!  You might be interested in this new venture!  The fightback starts here!  Yeah!   '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is enthusiastic and inviting, with no signs of hostility, insults, or derogatory language, so crowd-workers are likely to label it as not toxic.

PREDICTION: 1","The comment is clearly positive and inviting, with no ambiguous language or context that could be interpreted as toxic, so I am confident in my prediction.

DECISION: 0",,,2026-03-29T10:28:46.450233
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 == Hey, I am Ari == 
  
 Ok...About me in terms of my contribution on Wikipedia. 
  
 I will contribute articles towards the subjects of: 
  
 -Book reviews and plot outlines etc. 
  
 -Christianity 
  
 -Martial Arts (specificly Shaolin Kung-fu) 
  
 -Economics (specifically macro-economics) I have already submitted an article for the circular flow of income circular flow of income 
  
 - Biology and general science 
  
 - Information Technology and computer science 
  
 -1901 to now in Australian History and ANcient History 
  
 -And probably some other random topics that I know alot about. 
  
  
 Check out my information on Lake Parrramatta Reserve and circular flow of income'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is informative and non-confrontational, focusing on the user's intended contributions to Wikipedia, so crowd-workers are likely to label it as not toxic.

PREDICTION: 1","The comment is straightforward and does not contain any offensive or aggressive language, so I am confident in my prediction.

DECISION: 0",,,2026-03-29T10:28:46.506579
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Oversighted diffs on == 
 Hi AGK, 
 I believe your oversights to User:Ash exceed the scope of Wikipedia's oversight policy. I append webcites of the deleted revisions so that others can judge for themselves.  '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is factual and constructive, providing a reason for the disagreement and offering evidence for others to judge, so it is unlikely to be considered toxic.

PREDICTION: 1","The comment is polite, provides a reason for the disagreement, and offers evidence for others to judge, so it is unlikely to be considered toxic.

DECISION: 0",,,2026-03-29T10:28:46.690997
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 Thank you for experimenting with the page Britney Spears on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is informative, polite, and provides guidance, so it is unlikely to be considered toxic by crowd-workers.

PREDICTION: 1","The comment is straightforward, polite, and provides clear instructions, which aligns with typical non-toxic behavior on Wikipedia. There is no indication of toxicity, so implementing the prediction is appropriate.

DECISION: 0",,,2026-03-29T10:28:46.738504
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Request for clarification == 
 *Wikipedia:Categories_for_discussion/Log/2008_October_26#Category:Fictional_businesspeople 
 Per the discussion, is that ``keep`` or ``keep only as a parent category``? -  `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","This comment is a polite request for clarification and does not contain any rude, disrespectful, or inflammatory language.

PREDICTION: 1","The comment is a straightforward request for clarification without any signs of toxicity, so I am confident in my prediction.

DECISION: 0",,,2026-03-29T10:28:46.867411
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == James Soong == 
  
 Hi, thank you for your moving Soong Chuyu back to James Soong. Please also move Talk:Soong Chuyu back to Talk:James Soong, and close the discussion about the request move at Talk:Soong Chuyu and Wikipedia:Requested moves. Thanks.   '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is polite, informative, and makes a reasonable request, so it is unlikely to be labeled as toxic.

PREDICTION: 1","The comment is straightforward, polite, and clearly not toxic, so I am confident in my prediction.

DECISION: 0",,,2026-03-29T10:28:47.073001
