condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp
contains_wikipedia,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==No Personal Attacks== 
  
 Stop trying to cover up the truth about Wikipedia. I asked the user a question about whether or not the allegations in that article were true. I didn't write that article. 
 P.S. I actually didnt need to even ask if they were true- its obvious that they were. 
   '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely label this comment as toxic because it contains accusatory language and a condescending tone, implying that someone is trying to ""cover up the truth"" and stating that the truth is ""obvious"" in a way that comes across as confrontational.
PREDICTION: 0","The comment's tone and language are somewhat ambiguous, and while I predicted it would be labeled as toxic, there's a possibility that crowd-workers might interpret it as a passionate but non-toxic expression of opinion. Given this uncertainty, it's prudent to escalate the decision to the crowd-workers to ensure accuracy.
DECISION: 1",,,2026-03-27T16:36:37.850329
contains_wikipedia,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Camille Paglia == 
  
 Catamorphism, I don't know who the hell you are and I don't care.  Camille Paglia is not a ``sex-positive feminist``??????  Are you fucking nuts??  Do you know anything at all about her or what you are talking about??   
  
 Before you maliciously vandalize this article again with your bigotry and arrogance, maybe you should do some research on the subject.  And if you take her name out of the article again, I will simply reverse your action!!!!  Two can play your game!  Wikipedia will not be held hostage to cretins like you who need to distort and deny plain facts to suit your own Orwellian agendas!!!!`'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely label this comment as toxic because it contains aggressive language, personal attacks, and inflammatory tone, which are all characteristic of toxic behavior.
PREDICTION: 0","The comment's language and tone are unequivocally aggressive and offensive, leaving little room for interpretation, which increases the confidence in the prediction. Given the clear indicators of toxicity, it is likely that the crowd-workers would agree with the prediction, making escalation unnecessary.
DECISION: 0",,,2026-03-27T16:36:38.194740
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 == Hey, I am Ari == 
  
 Ok...About me in terms of my contribution on Wikipedia. 
  
 I will contribute articles towards the subjects of: 
  
 -Book reviews and plot outlines etc. 
  
 -Christianity 
  
 -Martial Arts (specificly Shaolin Kung-fu) 
  
 -Economics (specifically macro-economics) I have already submitted an article for the circular flow of income circular flow of income 
  
 - Biology and general science 
  
 - Information Technology and computer science 
  
 -1901 to now in Australian History and ANcient History 
  
 -And probably some other random topics that I know alot about. 
  
  
 Check out my information on Lake Parrramatta Reserve and circular flow of income'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely label this comment as not toxic because it appears to be a benign introduction by a user outlining their areas of contribution to Wikipedia, without containing any offensive or inflammatory language.
PREDICTION: 1","The comment is straightforward and lacks any obvious toxic content, making it likely that the crowd-workers would indeed label it as not toxic, aligning with my prediction. Given the high confidence in the prediction due to the comment's innocuous nature, escalation is unnecessary.
DECISION: 0",,,2026-03-27T16:36:38.216905
contains_wikipedia,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == Singapore / Chongqing == 
  
 Hi Ran, I noticed that your blocks violates many of the wikipedia policies. According to Wikipedia policies, a user is not supposed to block another user's right to contribute new facts and POV are supposed to be signaled to a committee for a NEUTRALITY dispute. And vandalism requires votes. I have therefore notified the Board of Administrators about this. Please refrain from blocking new users, also known as newbies, and refrain from posting on the Singapore page and please keep your comments to the Chongqing page. Your co-operation in this serious violation issue is highly appreciated, failing which legal action shall be taken.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is likely to be labeled as toxic because it contains a threat of legal action and a confrontational tone, despite being framed as a concern about Wikipedia policies, which suggests an aggressive and intimidating approach rather than a constructive or respectful one.
PREDICTION: 0","The comment's tone and language, including the threat of legal action, are ambiguous and could be interpreted differently by various crowd-workers, making it uncertain whether my prediction matches their true aggregate decision. Therefore, escalating to the crowd-workers would allow for a more accurate and reliable assessment of the comment's toxicity.
DECISION: 1",,,2026-03-27T16:36:38.322583
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 It is fully my intent to vanish from the Wikipedia. I do not wish to have any further contact with the organization, and I do not wish any material which is on my user page or I have contributed to continue to exist. 
  
 Have a nice day.'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely classify this comment as not toxic because, although it expresses a strong desire to leave Wikipedia and remove contributions, the tone is formal and the language used is polite, with a courteous closing phrase ""Have a nice day"".
PREDICTION: 1","The comment's tone is somewhat ambiguous, as the user's intent to remove their contributions could be seen as potentially disruptive or aggressive, which might lead some crowd-workers to classify it as toxic. Given this ambiguity, it's prudent to escalate the decision to the crowd-workers to ensure an accurate classification.
DECISION: 1",,,2026-03-27T16:36:38.355226
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 Thank you for experimenting with the page Britney Spears on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a polite and helpful message from a Wikipedia administrator, guiding a new user on how to properly use the platform, which indicates that it is not toxic.
PREDICTION: 1","The comment's tone and language are unequivocally polite and instructional, leaving little room for interpretation, which suggests that the crowd-workers would likely agree with the prediction. Given the high confidence in the prediction, it is reasonable to implement it without escalation.
DECISION: 0",,,2026-03-27T16:36:38.401894
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 ==Sci-fi== 
 Where are Star Wars Episodes IV and V and Close Encounters of the Third Kind, both are much better films than E.T.  —Preceding unsigned comment added by     
  
 :Which had the biggest budget?  Which spent the most on advertising?  Which generated the most box office receipts?  Of course, all of these variables are interrelated, and there is no practical way of isolating one variable without compromising the others.   If we ignored technological differences, Robinson Crusoe on Mars, Fantastic Planet, Forbidden Planet, The Time Machine (1960 film), and When Worlds Collide are all up in the running.      
  
 ==King Kong?== 
 Why was King Kong remove on the list? It had a sorce and everything!    
 :I removed it because it did not have a citation specifically mentioning it as being ``the best`` of the genre.  Being one of 100 films on Time's list is only a citation for being ``one of the the 100 best films according to Time``, nothing more.  It seems unreasonable to imply that because there is only one film of a particular genre on a ``best film`` list, the mention equals a citation for being the best of the genre.  That would be original research because the film may have been selected for reasons that have nothing to do with being the best of the genre.  ☑ uelWantman  
  
 ==Request to delete this page.== 
 While I don't disagree with the fact that you can at least narrow down several films which many consider great, this page is misleading. What purpose does it serve? The movies it lists are extremely inconsistent, and this page changes all the time. People will like what they like, and I think it is unfair that wikipedia, a generally factual resource, includes such a subjective topic as this and other polls. I also think that we should delete links to reviews for films and music. What other refutable encyclopedia does this? You cannot systematically grade personal taste.  —Preceding unsigned comment added by     
  
 :The point of the page is to list those films that have been previously recognized by a variety of critics and organization.  The opinions of these films are not of Wikipedia users, but of a variety of organizations.    
  
 ::Regardless of the notoriety of the sources, they don't constitute an article.  The citations are to sources of opinion which should, in my opinion, be added to the articles of their respective films. '  
  
 I believe that the page should be deleted, Its very opinionated (yes i know its all sourced from other people) but still who has the deciding line on what the greatest film, there are many variants. This sort of page is suited to someones' blog, not a Wikipedia article. Its a fine line to what should be on Wikipedia but this i think should be deleted.    
  
 :Although this page somewhat irks me, I believe it would most likely make it through a deletion proposal with a Keep decision.  The article is technically 100% factual in that it is stating, ``so and so thinks this movie is the greatest.``  Personally, I think that this sort of information on critic and audience opinions should be reserved for the individual entries for the films, and that an attempt to build a list such as this is inherently flawed.  Specifically, my problem is that the personal opinions of Wikipedians are bound to show up in this article in that, in many cases, I believe that with enough searching you could find somebody's'' list that has your favorite movie on top.  Of course, the failsafe against this is that editors must decide whether or not that ``somebody`` is a notable c'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is not toxic because it contains a civil and respectful discussion among users about the relevance and accuracy of a Wikipedia page, with participants presenting their opinions and engaging in a constructive debate without using offensive language or personal attacks.
PREDICTION: 1","The comment appears to be a genuine and respectful discussion, but the tone and language used may be subjective to interpretation, and some workers might perceive certain phrases as slightly confrontational or dismissive. To ensure accuracy, it's best to escalate the decision to the crowd-workers to obtain a more reliable assessment.
DECISION: 1",,,2026-03-27T16:36:38.882089
contains_wikipedia,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 ::yeah i def agree, Knol will not compete directly with Wikipedia.  i do think few people will bother writing articles like we have here.  it will feel like a copy of wikipedia unless someone wants to give a specific point of view, but that is mostly confined to political topics and few history topics.  i think knol will def be more like a ``how to`` site. 
   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment appears to be a neutral and respectful discussion about the potential impact of Knol on Wikipedia, with no language or tone that suggests toxicity or aggression.
PREDICTION: 1","The comment's language and tone are straightforward and lack any obvious indicators of toxicity, making it likely that the crowd-workers would also classify it as not toxic, increasing the confidence in the prediction. Given the high confidence in the prediction, it is reasonable to implement it without escalating to the crowd-workers.
DECISION: 0",,,2026-03-27T16:36:38.887454
contains_wikipedia,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == In the language area the FYROM language is called <>. UNBELIEVABLE LIE !!! == 
 This is f*cking unbelievable. Greece has never recognised the FYROM language as <>. 
 Not even all countries in the world has recognised FYROM as <> to start with. 
 This is a provokation for most of us Greeks and a HUGE HISTORICAL LIE to write that minorities in north Greece speak <>(meaning the FYROM language) especially in a Greece related article !! 
 The citizens of FYROM have no historical connection with Ancient Makedonia and with Alexander the Great. THEY ARE LIARS !!!  
  
 In the below links you will find some details of why we Greeks we will never recognise these Slavic falsifiers as <>  
  
 http://history-of-macedonia.com/wordpress/2009/02/09/an-essay-about-macedonia/ 
  
 http://history-of-macedonia.com/wordpress/2009/02/11/the-greeks-of-macedonia-in-slavic-sources/ 
  
 http://history-of-macedonia.com/wordpress/2008/09/10/pseudomacedonians-the-fallacy-of-their-cause-by-vasil-gligorov/ 
  
 http://history-of-macedonia.com/wordpress/2008/09/10/a-thesis-on-fyromian-denial-syndrom/ 
  
 Also when i try to edit it some administrator\administrators start to make the usual threats that they will block my account for messing with their Pseudomakedonian language...They love having this LIE in the Greek wikipedia page i guess grrrrrrrrr   '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely label this comment as toxic due to the presence of aggressive language, personal attacks, and inflammatory tone, as evidenced by the use of phrases such as ""UNBELIEVABLE LIE !!!"", ""f*cking unbelievable"", ""THEY ARE LIARS !!!"", and ""grrrrrrrrr"".
PREDICTION: 0","The comment contains strong language, personal attacks, and a clear intent to provoke, which are all characteristic of toxic behavior, making it likely that the crowd-workers would agree with the prediction of toxicity. Given the high confidence in the prediction, it is reasonable to implement it without escalation.
DECISION: 0",,,2026-03-27T16:36:38.958865
contains_wikipedia,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
  
 Sounds like it's time for a new entry: Wikipedia Cabal (There Is No Cabal)! (Yes, I'm being sarcastic.)  '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The crowd-workers will likely label this comment as not toxic because the user explicitly states they are being sarcastic, which implies a tone of criticism or frustration rather than hate or aggression, and the comment does not contain any abusive language or personal attacks.
PREDICTION: 1","The comment's tone and language are somewhat ambiguous, and while I predicted it as not toxic, the sarcasm and reference to a ""Wikipedia Cabal"" could be interpreted differently by different workers, making it a borderline case. To ensure accuracy, it's best to escalate this comment to the crowd-workers for a more reliable assessment.
DECISION: 1",,,2026-03-27T16:36:38.960823
