condition,ground_truth,prediction,correct,escalate,prompt,esc_prompt,thought,esc_reasoning,timestamp
contains_stop,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 Yeah, all you have to do is stop being such a bitch.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
 Yeah, all you have to do is stop being such a bitch.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the comment contains the word ""stop,"" the presence of the highly charged and abusive term ""bitch"" combined with the explicit intent to insult overrides the statistical trend for standalone mentions of ""stop,"" leading workers to classify it as toxic.

PREDICTION: 0","The prediction should be escalated because the comment contains highly toxic language (""bitch"") using the word ""stop"" as a negative imperative, which directly contradicts the non-toxic label typically associated with the neutral verb ""stop"" in benign contexts. DECISION: 1",2026-03-17T10:42:22.484376
contains_stop,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == You dumb mother fucking nigger lover == 
  
 STOP DELETING MY EDITS, YOU PRICK!'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 == You dumb mother fucking nigger lover == 
  
 STOP DELETING MY EDITS, YOU PRICK!'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment contains highly aggressive content including racial slurs and severe profanity, which overrides the general statistical trend that mentions of ""stop"" correlate with non-toxicity.

PREDICTION: 0","The comment contains severe hate speech and explicit abuse, which crowds would almost universally label as toxic, making the model's prediction of ""not toxic"" incorrect. Therefore, we must escalate this case to the crowd-workers to ensure the true decision is captured despite the model's failure.
DECISION: 1",2026-03-17T10:42:22.590067
contains_stop,1,1,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 Please stop. If you continue to blank or remove content from Wikipedia, as you did to Ankara, you will be blocked from editing Wikipedia.   A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 Please stop. If you continue to blank or remove content from Wikipedia, as you did to Ankara, you will be blocked from editing Wikipedia.   A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is a firm but procedural warning regarding policy violations and an invitation for dialogue, lacking any abusive, hateful, or harassing language that would characterize toxicity.

PREDICTION: 1","The comment is a standard administrative warning to cease problematic editing behavior and does not contain abusive language, harassment, or hate speech. Since the prediction of ""toxic"" contradicts the neutral, procedural nature of the text, the model's output should not be implemented and must be reviewed by humans. DECISION: 1",2026-03-17T10:42:22.602785
contains_stop,0,0,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
  Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.     '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
  Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.     '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment explicitly demands that the user ""stop"" their disruptive behavior and threatens a block for continued vandalism, which are clear indicators of hostility and aggression rather than helpful administrative guidance. PREDICTION: 0","While the decision tree indicates that comments containing the word 'stop' are likely non-toxic, this specific comment is a direct warning and threat of punishment for vandalism, which intuitively functions as a non-toxic administrative correction rather than an insult or harassment. Since the model's prediction of 'not toxic' aligns with this interpretation of the comment's functional purpose, the prediction should be accepted without escalation.

DECISION: 0",2026-03-17T10:42:22.670710
contains_stop,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 Alright, I am willing to concede that the CIA allegations are flimsy at best, therefore, I will stop the edit warring.  While you may not consider it too important, I think the issue of Assange as the founder to be another example of lazy journalism.  Your source for Assange as founder of Wikleaks was MSNBC.com.  I don't necessarily consider MSNBC to be a reliable source most of the time.  Corporate news does not do ``real`` journalism.  They copy news from one source or they make stories up.  It seems to me that the idea of Assange as founder is a meme.  I have never read a quote from Assange whereby he states that he founded Wikileaks.  This idea seems to be mostly promulgated by the U.S. corporate media.  Perhaps to vilify him in the minds of Americans, so that later he can be lynched.  This seems like Propaganda 101 to me.  The Wikileaks site does not identify Assange as the founder.  Where is the evidence?      04:08, 4 MARCH 2011 (UTC)`'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 Alright, I am willing to concede that the CIA allegations are flimsy at best, therefore, I will stop the edit warring.  While you may not consider it too important, I think the issue of Assange as the founder to be another example of lazy journalism.  Your source for Assange as founder of Wikleaks was MSNBC.com.  I don't necessarily consider MSNBC to be a reliable source most of the time.  Corporate news does not do ``real`` journalism.  They copy news from one source or they make stories up.  It seems to me that the idea of Assange as founder is a meme.  I have never read a quote from Assange whereby he states that he founded Wikileaks.  This idea seems to be mostly promulgated by the U.S. corporate media.  Perhaps to vilify him in the minds of Americans, so that later he can be lynched.  This seems like Propaganda 101 to me.  The Wikileaks site does not identify Assange as the founder.  Where is the evidence?      04:08, 4 MARCH 2011 (UTC)`'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although the comment contains the word 'stop' as a gesture to end an edit war, the rest of the text is rife with toxic language including accusations of 'lazy,' 'propaganda,' suggestions that 'people can be lynched,' and general ad hominem attacks against corporate media.

PREDICTION: 0","The comment contains the word ""stop"" but features highly aggressive language regarding corporate media, threats of lynching, and strong ideological attacks, which contradicts the model's non-toxic prediction and aligns with characteristics of toxic discourse; therefore, we must escalate to human reviewers to determine the true aggregate decision.
DECISION: 1",2026-03-17T10:42:22.673985
contains_stop,1,1,1,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '```biased and untrue phrasing of third paragraph`` 
  
 If you think the wording is ``biased and untrue``, present your argument on the Talk page. There is a majority consensus among editors of approval for the current wording. All who approve are open to suggested revisions, but the edit warring must stop. Present your argument on the Talk page for consideration before making edits to the 3rd paragraph.`'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '```biased and untrue phrasing of third paragraph`` 
  
 If you think the wording is ``biased and untrue``, present your argument on the Talk page. There is a majority consensus among editors of approval for the current wording. All who approve are open to suggested revisions, but the edit warring must stop. Present your argument on the Talk page for consideration before making edits to the 3rd paragraph.`'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is non-toxic because it includes a direct instruction to halt ""edit warring,"" which aligns with the decision tree's rule that the presence of the word 'stop' predicts a non-toxic label in 67% of cases.
PREDICTION: 1","The comment does not contain profanity, threats, or personal attacks, and the dataset's specific rule indicates that the presence of the word 'stop' typically leads to a non-toxic classification, making the model's 'toxic' prediction incorrect. Therefore, we should implement the decision rather than escalate.

DECISION: 0",2026-03-17T10:42:22.681521
contains_stop,0,1,0,0,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 : let me take back to your very 1st comment as i dont wish to talk with ignorant editors. ``back up your claims with valid citations..``70% of the material there have no citations! stop disturbing me! i am a scientist and your idiotic comments are disturbing me with new messages while i am skimming science articles.  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 : let me take back to your very 1st comment as i dont wish to talk with ignorant editors. ``back up your claims with valid citations..``70% of the material there have no citations! stop disturbing me! i am a scientist and your idiotic comments are disturbing me with new messages while i am skimming science articles.  `'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment demonstrates toxicity through the use of inflammatory insults like ""ignorant"" and ""idiotic,"" combined with dismissive refusals to debate and a claim that a non-administrative user is disturbing a scientist, which outweighs the statistical anomaly regarding the word 'stop'. PREDICTION: 1","The comment contains severe personal attacks (""ignorant editors,"" ""idiotic comments"") and disruptive behavior explicitly requested by the user (""stop disturbing me!""), which strongly indicates toxicity despite the model's specific rule about the word ""stop."" Since the model predicted ""toxic"" and this aligns with the human consensus that the comment is abusive, we should implement the prediction rather than escalate.

DECISION: 0",2026-03-17T10:42:22.749064
contains_stop,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ::Not making sense is your words, it makes sense to anyone willing to understand, that those language terms have been used and written throughout the centuries, while Azeri words are varients of Persian (which you compare to Azeri, for its legimity to stay) and Arabic written in Azeri characters which didn't exist prior to the 20th century. If you would stop taking this matter as a 'battle' and read the article, its introduction and the other languages which are there, and compare it with those of Greece (in comparaison it could be considered as the name of the country), you will see that your comparaison does not work. Since while the article on Greece was made to become just a name given to the country from various languages, the one of Jerusalem has made to become one of historic name. By now you should have understood this. Each time there is a controversy on your behavior you disappear the same day to come back days later to jump in the same controversy, the same way when you stopped contributing during the arbitration cases to escape scrutiny for this very same behavior.   '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ::Not making sense is your words, it makes sense to anyone willing to understand, that those language terms have been used and written throughout the centuries, while Azeri words are varients of Persian (which you compare to Azeri, for its legimity to stay) and Arabic written in Azeri characters which didn't exist prior to the 20th century. If you would stop taking this matter as a 'battle' and read the article, its introduction and the other languages which are there, and compare it with those of Greece (in comparaison it could be considered as the name of the country), you will see that your comparaison does not work. Since while the article on Greece was made to become just a name given to the country from various languages, the one of Jerusalem has made to become one of historic name. By now you should have understood this. Each time there is a controversy on your behavior you disappear the same day to come back days later to jump in the same controversy, the same way when you stopped contributing during the arbitration cases to escape scrutiny for this very same behavior.   '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","The comment is highly toxic because it employs aggressive personal attacks, accuses the recipient of unethical behavior (disappearing to avoid scrutiny), and adopts a hostile, demeaning tone that goes beyond typical debate, rendering the statistical hint about the word 'stop' irrelevant to the overall sentiment.
PREDICTION: 0","The comment is filled with personal attacks, dismissive language toward the user's behavior, and accusatory claims about their history, which strongly indicates toxicity despite the presence of the word ""stop"" acting as a trap for the statistical rule. Since the model's ""not toxic"" prediction contradicts the clear abusive nature of the text and the known bias in the decision tree, the correct action is to escalate the case for human review.

DECISION: 1",2026-03-17T10:42:22.781113
contains_stop,0,0,1,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 - 
 You will stop being pompous. 
 You will stop being a racist. 
 You will stop trying to push your astonishingly biased POV into articles. 
 You WILL STOP LYING.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 - 
 You will stop being pompous. 
 You will stop being a racist. 
 You will stop trying to push your astonishingly biased POV into articles. 
 You WILL STOP LYING.'.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","Although this comment contains the word ""stop"" which historically correlates with non-toxic classification in this dataset, the text is saturated with direct accusations of racism, lying, and bias alongside capitalized shouting, all of which are definitive markers of toxicity that far outweigh the predictive signal of a single common word.

PREDICTION: 0","The comment contains highly aggressive language including explicit accusations of racism, lying, and attempts to enforce a biased viewpoint, which collectively outweigh the statistical signal regarding the word 'stop'. Given the severe toxicity of the content, the model's prediction of ""not toxic"" is likely incorrect, so we must escalate the case for human review.

DECISION: 1",2026-03-17T10:42:22.837629
contains_stop,1,0,0,1,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'Keyes/Gravel Final resoulution 
 Ok, here's the deal, it really doesn't matter if we include Gravel/Keyes at this point or not, because come each parties National Conventions when a candidate is chosen to run for the party both Keyes and Gravel will be listed with the rest of the withdrawn candidates, I don't think anyone disputes that they are notable enough for that list. So, in order to stop the arguing why don't we just let the Keyes/Gravel supporters keep their candidate up their so they stop whining and when the conventions come they will be removed and no one will have anything to complain about. It's not like having them on a wikipedia page is going to change the election results one iota, so stop fretting about and just deal with it until the conventions. It's not like they will end up permanently being there anyways. Get my drift? Anyone else agree?    
  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'Keyes/Gravel Final resoulution 
 Ok, here's the deal, it really doesn't matter if we include Gravel/Keyes at this point or not, because come each parties National Conventions when a candidate is chosen to run for the party both Keyes and Gravel will be listed with the rest of the withdrawn candidates, I don't think anyone disputes that they are notable enough for that list. So, in order to stop the arguing why don't we just let the Keyes/Gravel supporters keep their candidate up their so they stop whining and when the conventions come they will be removed and no one will have anything to complain about. It's not like having them on a wikipedia page is going to change the election results one iota, so stop fretting about and just deal with it until the conventions. It's not like they will end up permanently being there anyways. Get my drift? Anyone else agree?    
  
  
 '.

A decision tree trained on this dataset finds that when a comment contains the word 'stop', 67% were classified as non-toxic.

A model was asked to predict the crowd-workers' aggregate decision for the scenario above. The model predicted: not toxic.
TASK: Should we implement this prediction, or escalate to the crowd-workers?
A decision is considered correct if we implement when the prediction matches the crowd-workers' true aggregate decision, or escalate when the prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate).","While the word ""stop"" appears, the comment's aggressive tone, use of derogatory labels like ""deal,"" ""whining,"" and accusatory phrasing (""deal with it"") indicates an intent to dominate the discussion and belittle opponents, leading the crowd-workers to classify it as toxic.
PREDICTION: 0","The comment employs aggressive language like ""it doesn't matter,"" ""stop whining,"" and ""stop fretting"" to dismiss opposing views, which aligns with the characteristics of toxicity despite the model's prediction that the word ""stop"" reduces the likelihood of a toxic label. Given the confrontational tone and the instruction to make opponents ""stop"" complaining, the crowds are likely to escalate this to ensure the label reflects the hostile nature of the text.

DECISION: 1",2026-03-17T10:42:23.058199
